NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abdullah Shafique,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,3.216,4.567,0.0,3.838,4.5,4.25,34
Ahsan Ali,2 Batsmen,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,4.499,0.0,0.0,6.353,7.0,6.0,11
David Wiese,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,3.419,7.834,7.834,3.973,4.5,7.5,56
Fakhar Zaman,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,7.694,3.608,2.874,8.347,11.0,16.0,71
Ghulam Mudassar,4 Bowler,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,2.574,0.0,0.0,4.091,4.0,2.0,29
Haris Rauf,4 Bowler,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,6.547,4.602,4.382,6.547,9.0,12.0,29
Harry Brook,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,1.995,1.285,1.285,1.995,1.5,1.0,4
Hassan Khan,4 Bowler,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,4.242,0.0,0.0,4.469,6.0,4.0,0
Iftikhar Ahmed,2 Batsmen,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,3.326,1.745,1.745,1.978,3.5,1.5,90
James Vince,2 Batsmen,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,3.702,4.303,3.777,3.515,4.5,5.0,2
Jason Roy,2 Batsmen,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,6.572,4.527,4.66,5.583,8.5,10.5,2
Kamran Ghulam,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,3.88,0.0,0.0,4.241,5.0,3.0,87
Mohammad Hafeez,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,3.952,2.753,2.753,3.225,4.5,3.75,23
Naseem Shah,4 Bowler,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,4.099,0.67,0.0,5.231,6.5,5.0,4
Noor Ahmad,4 Bowler,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,8.005,8.971,0.0,3.439,9.5,10.0,46
Phil Salt,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,2.478,3.144,2.587,2.528,3.0,3.0,12
Rashid Khan,4 Bowler,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,7.959,8.255,7.443,8.25,11.0,19.75,43
Sarfaraz Ahmed,1 Wicketkeeper,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,1.808,0.781,0.544,2.21,2.0,0.5,18
Shaheen Shah Afridi,4 Bowler,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,6.41,5.422,4.544,5.903,8.5,11.0,72
Sohail Tanvir,4 Bowler,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,2.788,0.0,0.0,2.788,3.0,1.0,11
Umar Akmal,2 Batsmen,"Gaddafi Stadium, Lahore",QG,LQ,AWAY,TARGET,1.69,0.0,0.0,3.164,2.5,0.75,36
Zaman Khan,4 Bowler,"Gaddafi Stadium, Lahore",LQ,QG,HOME,CHASE,4.258,0.0,0.0,4.966,6.0,4.0,4
