NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Daniel Sams,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,4.2,3.726,3.726,3.233,5.5,5.25,45
Daryl Mitchell,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,4.162,3.974,4.453,5.576,6.5,7.5,38
Devdutt Padikkal,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,4.386,3.713,3.713,3.707,5.5,5.25,22
Hrithik Shokeen,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,3.716,0.0,0.0,1.891,3.5,0.75,48
Ishan Kishan,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,5.029,4.658,4.931,5.029,7.5,9.25,46
Jasprit Bumrah,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,3.099,5.6,5.802,2.135,4.0,5.25,6
Jos Buttler,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,7.274,4.55,7.283,8.947,11.0,17.75,92
Kieron Pollard,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,2.954,2.847,2.768,2.954,3.0,2.5,22
Kuldeep Sen,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,4.009,0.0,0.0,5.507,6.5,5.0,29
Kumar Kartikeya,Unknown,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,5.096,0.0,0.0,5.585,7.5,6.25,35
Prasidh Krishna,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,5.811,7.057,0.0,4.546,7.0,8.5,29
Ravichandran Ashwin,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,5.495,8.808,8.415,4.055,7.0,11.0,59
Riley Meredith,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,4.625,5.639,6.766,4.625,6.0,8.0,56
Riyan Parag,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,3.782,0.0,0.0,2.314,4.0,1.5,23
Rohit Sharma,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,2.903,4.731,5.544,2.993,3.0,4.25,14
Sanju Samson,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,4.258,2.989,2.613,4.258,6.0,5.5,32
Shimron Hetmyer,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,3.547,2.761,2.982,4.189,5.0,4.5,4
Suryakumar Yadav,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,5.645,4.066,3.951,6.201,8.0,10.25,82
Tilak Varma,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,5.144,0.0,0.0,5.071,7.5,6.25,48
Tim David,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,RR,AWAY,CHASE,4.162,0.0,0.0,4.162,6.0,4.0,36
Trent Boult,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,5.137,7.153,6.942,4.826,7.0,10.0,30
Yuzvendra Chahal,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,MI,HOME,TARGET,7.39,4.831,4.391,7.39,10.5,15.25,29
