NAME,POSITION,TEAM_NAME,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aaron Finch,2 Batsmen,AUS,HOME,CHASE,5.455,4.225,4.225,5.455,7.5,9.25,46
Ashton Agar,4 Bowler,AUS,HOME,CHASE,5.553,5.315,4.914,5.553,7.5,9.75,59
Ben McDermott,1 Wicketkeeper,AUS,HOME,CHASE,5.015,2.726,3.034,5.015,7.5,8.0,2
Chamika Karunaratne,4 Bowler,SL,AWAY,TARGET,5.013,3.905,3.25,4.134,7.0,7.25,13
Charith Asalanka,3 All Rounder,SL,AWAY,TARGET,6.014,4.768,4.733,4.529,8.0,9.0,28
Daniel Sams,3 All Rounder,AUS,HOME,CHASE,7.034,5.183,5.183,7.034,10.5,16.0,14
Danushka Gunathilaka,3 All Rounder,SL,AWAY,TARGET,2.665,4.109,2.438,2.853,3.0,3.5,14
Dasun Shanaka,3 All Rounder,SL,AWAY,TARGET,2.352,3.416,3.94,1.493,2.5,2.75,52
Dinesh Chandimal,1 Wicketkeeper,SL,AWAY,TARGET,3.109,3.119,3.659,3.453,4.5,4.5,30
Dushmantha Chameera,4 Bowler,SL,AWAY,TARGET,5.127,4.875,5.089,5.449,7.5,9.5,14
Glenn Maxwell,3 All Rounder,AUS,HOME,CHASE,6.295,3.278,3.278,6.295,9.0,11.25,81
Jeffrey Vandersay,4 Bowler,SL,AWAY,TARGET,9.497,8.674,0.0,10.419,14.0,26.5,29
Josh Hazlewood,4 Bowler,AUS,HOME,CHASE,8.337,7.396,7.591,8.762,12.0,21.25,37
Josh Inglis,1 Wicketkeeper,AUS,HOME,CHASE,3.224,5.192,5.192,3.224,4.5,6.0,35
Kane Richardson,4 Bowler,AUS,HOME,CHASE,6.626,4.822,4.822,6.626,9.0,12.0,95
Kusal Mendis,1 Wicketkeeper,SL,AWAY,TARGET,5.796,2.366,3.423,6.945,8.0,9.25,10
Maheesh Theekshana,4 Bowler,SL,AWAY,TARGET,3.769,4.256,4.022,3.794,4.5,5.25,93
Marcus Stoinis,3 All Rounder,AUS,HOME,CHASE,3.975,3.429,3.429,3.975,4.5,4.5,18
Matthew Wade,1 Wicketkeeper,AUS,HOME,CHASE,2.55,2.285,2.11,2.55,3.0,2.5,12
Mitchell Starc,4 Bowler,AUS,HOME,CHASE,6.155,6.277,4.915,4.897,8.0,10.0,4
Nuwan Thushara,4 Bowler,SL,AWAY,TARGET,4.658,3.687,3.687,4.937,6.0,6.25,4
Pathum Nissanka,2 Batsmen,SL,AWAY,TARGET,4.583,3.462,4.453,4.233,6.0,6.5,22
