NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Axar Patel,3 All Rounder,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,5.979,9.333,4.253,5.122,7.5,11.75,3
David Warner,2 Batsmen,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,4.481,4.848,7.757,7.652,7.5,10.75,53
Devdutt Padikkal,2 Batsmen,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,3.616,3.713,3.713,3.452,4.5,4.5,89
Jos Buttler,1 Wicketkeeper,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,5.95,4.55,7.283,8.895,9.0,13.75,169
Karun Nair,2 Batsmen,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,3.575,0.0,0.0,3.889,4.5,2.25,4
Khaleel Ahmed,4 Bowler,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,4.492,0.0,0.0,7.698,7.5,7.0,33
Kuldeep Yadav,4 Bowler,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,7.652,3.248,4.837,7.848,10.5,14.75,-2
Lalit Yadav,3 All Rounder,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,5.294,0.0,0.0,4.962,7.0,5.0,54
Mustafizur Rahman,4 Bowler,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,2.105,5.084,5.79,2.965,3.0,4.75,27
Obed McCoy,4 Bowler,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,6.015,6.506,6.506,6.426,9.0,13.5,23
Prasidh Krishna,4 Bowler,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,5.881,7.057,0.0,2.999,6.0,6.0,107
Prithvi Shaw,2 Batsmen,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,4.595,3.041,0.0,6.226,7.0,7.5,54
Ravichandran Ashwin,3 All Rounder,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,4.145,8.808,8.415,2.017,5.0,8.0,54
Rishabh Pant,1 Wicketkeeper,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,4.439,3.72,3.304,4.209,6.0,6.25,66
Riyan Parag,2 Batsmen,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,5.166,0.0,0.0,1.769,5.5,1.25,10
Rovman Powell,2 Batsmen,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,2.555,4.479,4.156,2.555,3.0,4.0,60
Sanju Samson,1 Wicketkeeper,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,3.23,2.989,2.613,3.556,4.5,3.75,105
Sarfaraz Khan,2 Batsmen,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,4.562,0.0,0.0,1.975,4.5,1.0,5
Shardul Thakur,4 Bowler,"Wankhede Stadium, Mumbai",DC,RR,HOME,CHASE,4.738,5.943,4.828,4.693,6.0,7.5,28
Shimron Hetmyer,2 Batsmen,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,5.267,2.761,2.982,6.339,8.0,9.0,5
Trent Boult,4 Bowler,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,6.544,7.153,6.942,6.373,9.0,14.0,8
Yuzvendra Chahal,4 Bowler,"Wankhede Stadium, Mumbai",RR,DC,AWAY,TARGET,7.886,4.831,4.391,7.886,10.5,15.25,39
