NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aaron Finch,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,3.033,3.82,4.214,3.488,4.5,4.75,27
Andre Russell,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,7.157,4.374,4.374,7.157,10.5,15.25,122
Anukul Roy,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,4.512,0.0,0.0,4.902,6.0,4.0,2
Avesh Khan,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,5.046,4.817,4.817,5.046,7.5,9.25,113
Ayush Badoni,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,2.572,0.0,0.0,2.572,3.0,1.0,41
Baba Indrajith,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,4.37,0.0,0.0,1.917,4.5,1.0,14
Deepak Hooda,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,4.705,2.741,1.349,4.705,6.0,5.25,61
Dushmantha Chameera,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,4.432,4.843,4.989,4.432,6.0,7.0,35
Harshit Rana,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,3.726,0.0,0.0,3.726,4.5,2.25,0
Jason Holder,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,4.037,5.713,6.466,4.813,6.0,8.0,108
KL Rahul,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,6.792,4.689,4.982,6.792,9.0,12.0,2
Krunal Pandya,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,5.389,3.873,4.211,5.389,7.5,8.75,47
Marcus Stoinis,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,3.299,3.374,3.223,2.878,4.0,3.75,45
Mohsin Khan,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,4.914,0.0,0.0,5.77,6.5,5.0,47
Nitish Rana,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,4.021,1.278,1.518,4.021,6.0,4.75,0
Quinton de Kock,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,4.825,6.03,6.354,4.825,6.0,8.5,94
Ravi Bishnoi,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,HOME,TARGET,3.26,4.417,4.417,3.26,4.5,5.25,27
Rinku Singh,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,5.815,0.0,0.0,5.488,7.5,6.25,16
Shivam Mavi,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,4.811,0.0,0.0,3.141,5.5,3.0,32
Shreyas Iyer,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,4.869,4.926,5.634,4.869,6.0,7.25,39
Sunil Narine,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,2.808,0.0,0.0,2.808,3.0,1.0,66
Tim Southee,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,AWAY,CHASE,8.489,6.403,6.263,8.582,12.0,20.5,31
