NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Bhuvneshwar Kumar,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,3.692,4.237,4.551,3.774,4.5,5.25,76
Chamika Karunaratne,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,5.718,3.689,3.024,5.14,7.5,8.5,27
Charith Asalanka,3 All Rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,4.566,4.541,4.32,2.116,5.0,5.0,70
Dasun Shanaka,3 All Rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,3.398,3.513,4.041,2.989,4.0,4.0,32
Deepak Hooda,3 All Rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,5.071,4.83,0.0,5.893,7.5,8.25,4
Dinesh Chandimal,1 Wicketkeeper,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,2.876,3.084,3.484,3.065,3.5,3.75,16
Dushmantha Chameera,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,4.63,4.862,5.04,4.828,6.0,7.25,30
Harshal Patel,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,7.925,7.624,7.624,7.801,10.5,17.5,8
Ishan Kishan,1 Wicketkeeper,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,4.055,3.739,3.737,3.204,5.5,5.25,141
Janith Liyanage,3 All Rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,5.376,1.37,1.37,4.197,7.0,5.75,21
Jasprit Bumrah,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,7.202,5.816,7.244,9.055,11.5,20.0,6
Jeffrey Vandersay,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,7.306,6.386,2.955,7.175,10.5,15.75,4
Kamil Mishara,2 Batsmen,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,4.263,0.171,0.171,3.184,5.5,3.0,19
Lahiru Kumara,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,5.197,5.922,6.418,5.197,7.5,10.25,35
Pathum Nissanka,2 Batsmen,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,5.75,3.547,4.454,6.177,8.0,10.0,2
Praveen Jayawickrama,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SL,INDIA,AWAY,CHASE,3.079,4.284,2.14,3.946,4.5,4.75,4
Ravindra Jadeja,3 All Rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,6.977,6.647,8.781,7.935,9.5,15.5,34
Rohit Sharma,2 Batsmen,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,5.896,5.028,6.064,6.927,8.0,11.5,66
Sanju Samson,1 Wicketkeeper,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,3.837,2.65,1.785,6.055,6.0,5.75,12
Shreyas Iyer,2 Batsmen,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,3.279,3.467,3.322,1.966,3.5,3.0,84
Venkatesh Iyer,3 All Rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,7.961,4.27,5.196,7.339,10.5,15.5,50
Yuzvendra Chahal,4 Bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",INDIA,SL,HOME,TARGET,5.823,4.874,4.352,4.321,7.0,8.0,35
