NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abdul Samad,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,3.037,0.0,0.0,5.187,5.5,3.75,16
Abhishek Sharma,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,8.771,0.0,0.0,6.472,11.0,12.0,8
Aiden Markram,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,3.252,4.82,6.562,0.0,3.0,3.5,88
Bhuvneshwar Kumar,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,4.133,4.466,4.839,4.509,6.0,7.0,32
Devdutt Padikkal,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,3.662,3.713,3.713,4.792,5.0,5.25,67
Jos Buttler,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,5.26,4.55,7.283,7.744,8.5,12.5,52
Kane Williamson,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,5.05,4.852,4.464,6.113,8.0,10.5,6
Nathan Coulter-Nile,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,6.092,0.0,0.0,6.092,9.0,9.0,-1
Nicholas Pooran,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,5.594,3.384,3.927,6.964,8.0,9.75,18
Prasidh Krishna,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,7.38,7.057,0.0,4.684,9.0,10.5,72
Rahul Tripathi,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,4.882,0.0,0.0,5.726,6.5,5.0,2
Ravichandran Ashwin,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,6.584,8.808,8.415,4.69,8.0,12.0,8
Riyan Parag,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,8.436,0.0,0.0,9.437,12.5,18.0,26
Romario Shepherd,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,5.374,4.37,4.589,5.318,7.5,9.25,59
Sanju Samson,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,2.447,2.989,2.613,2.58,3.0,2.5,94
Shimron Hetmyer,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,3.222,2.761,2.982,4.072,5.0,4.5,70
T Natarajan,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,4.313,3.123,3.776,4.692,6.0,6.25,60
Trent Boult,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,6.033,7.153,6.942,5.736,8.5,12.5,78
Umran Malik,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,4.689,0.0,0.0,5.053,6.5,5.0,62
Washington Sundar,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",SRH,RR,HOME,CHASE,7.277,5.187,4.049,0.0,7.0,3.5,57
Yashasvi Jaiswal,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,2.394,0.0,0.0,1.233,2.5,0.5,28
Yuzvendra Chahal,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",RR,SRH,AWAY,TARGET,5.01,4.831,4.391,4.425,7.0,8.0,95
