NAME,POSITION,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aamer Yamin,3 All Rounder,HOME,TARGET,4.798,0.0,0.0,4.573,6.0,4.0,22
Abdullah Shafique,2 Batsmen,AWAY,CHASE,3.805,4.567,0.0,5.694,5.5,5.75,13
Babar Azam,2 Batsmen,HOME,TARGET,4.07,5.259,5.458,3.866,5.5,6.75,62
Ben Dunk,1 Wicketkeeper,AWAY,CHASE,1.549,0.0,0.0,1.549,1.5,0.25,4
David Wiese,3 All Rounder,AWAY,CHASE,3.343,7.834,7.834,5.008,5.5,9.0,2
Fakhar Zaman,2 Batsmen,AWAY,CHASE,5.515,3.608,2.874,5.623,7.5,8.25,152
Haris Rauf,4 Bowler,AWAY,CHASE,6.931,4.602,4.382,6.149,9.0,12.0,99
Imad Wasim,3 All Rounder,HOME,TARGET,4.681,3.996,3.996,4.242,6.0,6.25,37
Joe Clarke,1 Wicketkeeper,HOME,TARGET,6.013,0.0,0.0,6.013,9.0,9.0,32
Kamran Ghulam,Unknown,AWAY,CHASE,6.069,0.0,0.0,8.257,10.0,12.0,11
Lewis Gregory,3 All Rounder,HOME,TARGET,2.266,7.034,4.202,1.975,2.5,5.0,6
Mohammad Hafeez,3 All Rounder,AWAY,CHASE,2.999,2.753,2.753,2.034,3.0,2.5,65
Mohammad Ilyas,4 Bowler,HOME,TARGET,3.594,0.0,0.0,3.442,4.5,2.25,-2
Mohammad Nabi,3 All Rounder,HOME,TARGET,3.092,4.83,5.561,3.092,4.5,5.5,56
Mohammad Taha,3 All Rounder,HOME,TARGET,3.946,0.0,0.0,0.57,3.0,0.0,4
Rashid Khan,4 Bowler,AWAY,CHASE,7.703,8.255,7.443,7.884,10.5,18.0,47
Sahibzada Farhan,2 Batsmen,HOME,TARGET,4.468,0.0,0.0,0.0,4.0,0.0,14
Samit Patel,3 All Rounder,AWAY,CHASE,6.453,0.0,0.0,6.453,9.0,9.0,36
Shaheen Shah Afridi,4 Bowler,AWAY,CHASE,6.562,5.422,4.544,6.093,9.0,12.5,45
Sharjeel Khan,2 Batsmen,HOME,TARGET,3.754,1.309,1.309,5.856,5.5,4.5,90
Umaid Asif,3 All Rounder,HOME,TARGET,5.39,0.0,0.0,5.39,7.5,6.25,54
Zaman Khan,Unknown,AWAY,CHASE,2.231,0.0,0.0,0.0,2.0,0.0,29
