NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Alzarri Joseph,4 Bowler,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,4.149,5.342,0.0,3.441,5.5,5.5,33
David Miller,2 Batsmen,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,4.475,3.062,3.422,4.475,6.0,6.25,20
Devon Conway,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,5.533,5.928,4.985,6.849,8.0,11.0,9
Hardik Pandya,3 All Rounder,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,6.267,3.608,3.974,6.267,9.0,11.25,18
MS Dhoni,1 Wicketkeeper,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,2.058,0.0,0.0,2.058,3.0,1.0,9
Matheesha Pathirana,4 Bowler,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,4.656,4.296,0.0,0.0,4.0,2.0,62
Matthew Wade,1 Wicketkeeper,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,3.599,2.301,2.148,2.544,4.0,3.0,36
Mitchell Santner,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,6.657,3.546,3.465,7.083,9.5,12.75,7
Moeen Ali,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,6.409,5.653,6.783,6.409,9.0,13.0,58
Mohammed Shami,4 Bowler,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,4.245,6.199,5.755,4.245,6.0,8.25,60
Mukesh Choudhary,4 Bowler,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,6.447,0.0,0.0,6.447,9.0,9.0,4
Narayan Jagadeesan,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,3.136,0.0,0.0,0.0,3.0,0.0,52
Prashant Solanki,4 Bowler,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,5.454,0.0,0.0,4.318,7.0,5.0,10
Rahul Tewatia,3 All Rounder,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,2.576,0.0,0.0,2.576,3.0,1.0,4
Rashid Khan,4 Bowler,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,6.265,7.608,6.816,6.265,9.0,14.0,37
Ravisrinivasan Sai Kishore,4 Bowler,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,5.345,0.0,0.0,8.681,9.0,10.0,29
Ruturaj Gaikwad,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,4.921,2.552,2.552,4.921,6.0,5.5,71
Shivam Dube,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,4.11,0.0,0.0,4.11,6.0,4.0,18
Shubman Gill,2 Batsmen,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,4.724,2.786,0.0,4.724,6.0,5.0,25
Simarjeet Singh,4 Bowler,"Wankhede Stadium, Mumbai",CSK,GT,HOME,TARGET,3.257,0.0,0.0,3.215,4.5,2.25,4
Wriddhiman Saha,1 Wicketkeeper,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,4.419,2.737,0.0,4.84,6.0,5.0,105
Yash Dayal,4 Bowler,"Wankhede Stadium, Mumbai",GT,CSK,AWAY,CHASE,5.631,0.0,0.0,6.87,8.0,7.5,12
