NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Alzarri Joseph,4 Bowler,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,5.766,5.342,0.0,4.016,7.0,7.5,27
Daniel Sams,3 All Rounder,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,4.707,3.726,3.726,3.796,5.5,5.25,12
David Miller,2 Batsmen,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,4.509,3.062,3.422,4.509,6.0,6.25,28
Hardik Pandya,3 All Rounder,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,6.247,3.608,3.974,6.247,9.0,11.25,50
Ishan Kishan,1 Wicketkeeper,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,3.807,4.658,4.931,3.807,4.5,5.25,82
Jasprit Bumrah,4 Bowler,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,2.791,5.6,5.802,1.898,2.5,4.25,0
Kieron Pollard,3 All Rounder,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,3.069,2.847,2.768,3.069,4.5,3.75,37
Kumar Kartikeya,Unknown,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,4.882,0.0,0.0,4.518,6.0,4.0,4
Lockie Ferguson,4 Bowler,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,4.215,4.444,4.444,4.215,6.0,7.0,29
Mohammed Shami,4 Bowler,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,5.785,6.199,5.755,5.785,7.5,10.5,2
Murugan Ashwin,4 Bowler,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,4.355,0.0,0.0,4.47,6.0,4.0,54
Pradeep Sangwan,4 Bowler,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,5.046,0.0,0.0,4.395,7.0,5.0,29
Rahul Tewatia,3 All Rounder,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,3.019,0.0,0.0,3.019,4.5,2.25,7
Rashid Khan,4 Bowler,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,4.488,7.608,6.816,4.488,6.0,9.0,101
Riley Meredith,4 Bowler,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,5.111,5.639,6.766,5.111,7.5,10.25,4
Rohit Sharma,2 Batsmen,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,2.759,4.731,5.544,2.698,3.0,4.25,64
Sai Sudharsan,2 Batsmen,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,4.855,0.0,0.0,5.521,6.5,5.0,21
Shubman Gill,2 Batsmen,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,3.992,2.786,0.0,3.992,4.5,3.25,76
Suryakumar Yadav,2 Batsmen,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,6.439,4.066,3.951,6.439,9.0,11.75,19
Tilak Varma,3 All Rounder,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,4.823,0.0,0.0,5.163,6.5,5.0,35
Tim David,2 Batsmen,"Brabourne Stadium, Mumbai",MI,GT,AWAY,TARGET,3.599,0.0,0.0,3.599,4.5,2.25,68
Wriddhiman Saha,1 Wicketkeeper,"Brabourne Stadium, Mumbai",GT,MI,HOME,CHASE,3.69,2.737,0.0,3.928,4.5,3.25,79
