NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Anmolpreet Singh,2 Batsmen,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,2.768,0.0,0.0,0.2,2.0,0.0,12
Axar Patel,3 All Rounder,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,5.608,9.333,4.253,4.592,7.0,10.5,58
Basil Thampi,4 Bowler,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,5.239,0.0,0.0,5.081,7.5,6.25,83
Daniel Sams,3 All Rounder,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,5.711,3.726,3.726,4.912,7.0,7.25,15
Ishan Kishan,1 Wicketkeeper,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,4.79,4.658,4.931,5.063,6.5,8.0,120
Jasprit Bumrah,4 Bowler,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,5.41,5.6,5.802,2.197,6.0,6.25,-2
Kamlesh Nagarkoti,4 Bowler,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,5.572,0.0,0.0,9.447,9.5,11.25,-2
Khaleel Ahmed,4 Bowler,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,2.362,0.0,0.0,1.141,2.5,0.5,56
Kieron Pollard,3 All Rounder,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,2.951,2.847,2.768,3.646,3.5,3.0,7
Kuldeep Yadav,4 Bowler,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,3.024,3.248,4.837,4.837,5.0,5.5,89
Lalit Yadav,3 All Rounder,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,5.946,0.0,0.0,5.789,7.5,6.25,72
Mandeep Singh,3 All Rounder,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,3.17,0.0,0.0,1.255,3.5,0.75,10
Murugan Ashwin,4 Bowler,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,4.443,0.0,0.0,3.477,5.5,3.0,68
Prithvi Shaw,2 Batsmen,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,3.386,3.041,0.0,4.369,5.0,4.5,66
Rishabh Pant,1 Wicketkeeper,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,4.332,3.72,3.304,5.284,6.5,7.25,5
Rohit Sharma,2 Batsmen,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,2.748,4.731,5.544,3.408,3.5,4.75,65
Rovman Powell,2 Batsmen,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,5.887,4.479,4.156,4.474,7.0,8.0,10
Shardul Thakur,4 Bowler,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,4.78,5.943,4.828,2.378,5.0,5.5,26
Tilak Varma,3 All Rounder,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,6.374,0.0,0.0,6.968,9.0,9.0,39
Tim David,2 Batsmen,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,4.379,0.0,0.0,4.379,6.0,4.0,26
Tim Seifert,1 Wicketkeeper,"Brabourne Stadium, Mumbai",DC,MI,HOME,CHASE,4.263,1.37,1.37,4.985,6.0,4.75,39
Tymal Mills,4 Bowler,"Brabourne Stadium, Mumbai",MI,DC,AWAY,TARGET,4.722,5.364,5.364,4.125,6.0,7.75,29
