NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Ambati Rayudu,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,4.025,0.0,0.0,4.411,6.0,4.0,16
Devon Conway,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,5.147,5.928,4.985,5.931,7.5,9.75,88
Dinesh Karthik,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,3.423,0.0,0.0,3.423,4.5,2.25,39
Dwaine Pretorius,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,5.383,6.424,6.686,5.281,7.5,10.75,45
Faf du Plessis,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,4.442,1.164,0.0,4.442,6.0,4.5,58
Glenn Maxwell,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,3.729,4.237,4.237,4.104,5.0,6.0,69
Harshal Patel,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,5.214,5.916,5.916,5.214,7.5,10.0,83
Josh Hazlewood,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,6.864,6.99,7.45,7.627,9.5,15.25,35
MS Dhoni,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,2.368,0.0,0.0,2.368,3.0,1.0,12
Maheesh Theekshana,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,5.384,4.635,4.549,5.384,7.5,9.25,102
Mahipal Lomror,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,4.215,0.0,0.0,2.736,5.0,2.0,61
Moeen Ali,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,7.175,5.653,6.783,7.175,10.5,16.25,108
Mohammed Siraj,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,3.345,4.248,4.474,3.345,4.5,5.25,10
Mukesh Choudhary,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,5.059,0.0,0.0,5.48,7.5,6.25,10
Rajat Patidar,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,4.803,0.0,0.0,5.505,6.5,5.0,38
Ravindra Jadeja,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,3.976,7.582,8.209,4.111,5.0,8.5,19
Robin Uthappa,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,4.691,0.0,0.0,4.691,6.0,4.0,11
Ruturaj Gaikwad,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,3.923,2.552,2.552,3.923,4.5,3.75,53
Shahbaz Ahmed,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,3.888,0.0,0.0,3.888,4.5,2.25,38
Simarjeet Singh,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,AWAY,CHASE,4.083,0.0,0.0,4.868,6.0,4.0,4
Virat Kohli,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,3.168,3.882,5.566,3.168,4.5,5.0,59
Wanindu Hasaranga de Silva,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,HOME,TARGET,6.479,7.662,9.847,6.479,9.0,14.75,27
