NAME,POSITION,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aamer Azmat,Unknown,MS,KK,HOME,CHASE,7.378,0.0,0.0,0.0,7.0,0.0,12
Asif Afridi,3 All Rounder,MS,KK,HOME,CHASE,6.222,0.0,0.0,2.532,7.0,3.0,6
Babar Azam,2 Batsmen,KK,MS,AWAY,TARGET,6.024,5.259,5.458,6.024,9.0,12.75,6
Blessing Muzarabani,4 Bowler,MS,KK,HOME,CHASE,4.926,4.646,3.918,4.605,6.0,6.75,29
Chris Jordan,4 Bowler,KK,MS,AWAY,TARGET,4.84,4.024,4.024,4.63,6.0,7.0,23
Imad Wasim,3 All Rounder,KK,MS,AWAY,TARGET,4.149,3.996,3.996,4.149,6.0,6.25,53
Imran Tahir,4 Bowler,MS,KK,HOME,CHASE,5.877,0.0,0.0,6.375,8.0,7.5,29
Joe Clarke,1 Wicketkeeper,KK,MS,AWAY,TARGET,3.802,0.0,0.0,3.802,4.5,2.25,65
Jordan Thompson,3 All Rounder,KK,MS,AWAY,TARGET,2.984,0.0,0.0,2.984,3.0,1.0,4
Khushdil Shah,2 Batsmen,MS,KK,HOME,CHASE,6.153,2.074,2.074,6.153,9.0,10.5,55
Mir Hamza,4 Bowler,KK,MS,AWAY,TARGET,5.453,0.0,0.0,5.575,7.5,6.25,56
Mohammad Nabi,3 All Rounder,KK,MS,AWAY,TARGET,4.811,4.83,5.561,4.811,6.0,7.25,40
Mohammad Rizwan,1 Wicketkeeper,MS,KK,HOME,CHASE,7.423,5.95,7.6,7.423,10.5,16.5,98
Qasim Akram,3 All Rounder,KK,MS,AWAY,TARGET,7.065,7.333,0.0,5.354,9.5,12.25,29
Rilee Rossouw,2 Batsmen,MS,KK,HOME,CHASE,2.953,0.0,0.0,2.455,3.0,1.0,21
Rohail Nazir,1 Wicketkeeper,KK,MS,AWAY,TARGET,1.212,0.0,0.0,0.0,1.0,0.0,35
Rumman Raees,4 Bowler,MS,KK,HOME,CHASE,5.047,0.0,0.0,5.758,7.5,6.25,37
Shahnawaz Dahani,4 Bowler,MS,KK,HOME,CHASE,4.693,4.481,4.481,5.123,6.5,8.0,52
Shan Masood,2 Batsmen,MS,KK,HOME,CHASE,7.454,0.0,0.0,7.432,10.5,12.25,75
Sharjeel Khan,2 Batsmen,KK,MS,AWAY,TARGET,3.155,1.309,1.309,4.294,5.0,3.75,49
Tim David,3 All Rounder,MS,KK,HOME,CHASE,4.383,0.0,0.0,4.383,6.0,4.0,35
Umaid Asif,3 All Rounder,KK,MS,AWAY,TARGET,5.372,0.0,0.0,5.372,7.5,6.25,0
