NAME,POSITION,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Alzarri Joseph,4 Bowler,WI,INDIA,AWAY,CHASE,5.517,5.093,5.241,5.34,7.5,10.0,100
Brandon King,2 Batsmen,WI,INDIA,AWAY,CHASE,4.539,4.126,1.918,1.918,4.5,3.25,20
Darren Bravo,2 Batsmen,WI,INDIA,AWAY,CHASE,1.985,2.443,2.997,1.333,1.5,1.75,34
Deepak Chahar,4 Bowler,INDIA,WI,HOME,TARGET,4.476,7.287,9.427,9.72,8.5,14.75,104
Fabian Allen,3 All Rounder,WI,INDIA,AWAY,CHASE,2.86,3.885,2.659,4.159,4.0,4.0,26
Hayden Walsh,4 Bowler,WI,INDIA,AWAY,CHASE,2.76,4.721,8.386,0.0,2.0,4.0,68
Jason Holder,3 All Rounder,WI,INDIA,AWAY,CHASE,8.688,5.959,3.837,4.048,10.0,11.25,137
Kemar Roach,4 Bowler,WI,INDIA,AWAY,CHASE,6.603,4.84,1.381,1.381,6.5,3.75,4
Kuldeep Yadav,4 Bowler,INDIA,WI,HOME,TARGET,2.98,3.335,1.515,1.73,2.5,2.25,59
Mohammed Siraj,4 Bowler,INDIA,WI,HOME,TARGET,4.668,3.907,3.322,3.322,5.5,5.25,100
Nicholas Pooran,1 Wicketkeeper,WI,INDIA,AWAY,CHASE,2.958,2.895,1.733,1.038,2.5,1.75,42
Odean Smith,3 All Rounder,WI,INDIA,AWAY,CHASE,4.951,4.951,6.495,6.495,7.0,9.5,82
Prasidh Krishna,4 Bowler,INDIA,WI,HOME,TARGET,5.206,6.895,6.895,6.933,8.0,12.0,87
Rishabh Pant,1 Wicketkeeper,INDIA,WI,HOME,TARGET,2.964,3.464,4.472,3.207,3.5,4.0,82
Rohit Sharma,2 Batsmen,INDIA,WI,HOME,TARGET,6.871,5.31,3.608,4.537,8.0,9.25,48
Shai Hope,1 Wicketkeeper,WI,INDIA,AWAY,CHASE,2.45,3.712,5.397,3.046,3.5,4.25,46
Shamarh Brooks,2 Batsmen,WI,INDIA,AWAY,CHASE,3.623,4.006,4.285,4.285,5.0,6.0,9
Shikhar Dhawan,2 Batsmen,INDIA,WI,HOME,TARGET,3.263,5.03,5.581,3.15,4.5,6.0,20
Shreyas Iyer,2 Batsmen,INDIA,WI,HOME,TARGET,2.608,3.095,1.604,1.926,2.5,2.25,105
Suryakumar Yadav,2 Batsmen,INDIA,WI,HOME,TARGET,3.515,4.02,4.905,3.531,4.5,5.25,19
Virat Kohli,2 Batsmen,INDIA,WI,HOME,TARGET,2.688,3.969,3.604,3.025,3.5,3.75,17
Washington Sundar,3 All Rounder,INDIA,WI,HOME,TARGET,8.041,5.338,8.034,8.041,12.0,20.5,41
