NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Akash Deep,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,5.444,0.0,0.0,5.178,7.5,6.25,23
Anuj Rawat,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,3.445,0.0,0.0,5.808,5.5,3.75,45
Arshdeep Singh,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,6.201,0.0,0.0,2.413,7.0,3.0,29
Bhanuka Rajapaksa,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,2.771,2.707,2.999,2.771,3.0,2.5,67
David Willey,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,6.418,5.61,4.025,6.799,9.0,12.5,4
Dinesh Karthik,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,4.136,0.0,0.0,0.685,4.0,0.0,55
Faf du Plessis,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,4.888,1.164,0.0,4.888,6.0,4.5,121
Harpreet Brar,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,3.659,0.0,0.0,3.768,4.5,2.25,-2
Harshal Patel,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,6.26,5.916,5.916,5.421,8.5,11.25,29
Liam Livingstone,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,5.031,5.441,5.892,4.574,7.0,8.75,33
M Shahrukh Khan,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,4.082,0.0,0.0,0.0,4.0,0.0,48
Mayank Agarwal,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,3.421,3.329,0.0,3.052,4.5,3.75,56
Mohammed Siraj,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,4.165,4.248,4.474,4.452,6.0,7.0,30
Odean Smith,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,3.775,4.363,3.026,1.047,3.5,3.5,41
Rahul Chahar,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,4.319,6.582,5.891,4.483,6.0,8.25,41
Raj Bawa,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,7.227,9.378,0.0,0.0,7.0,4.5,2
Sandeep Sharma,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,2.746,0.0,0.0,2.97,3.0,1.0,4
Shahbaz Ahmed,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,7.779,0.0,0.0,4.223,9.0,7.0,20
Sherfane Rutherford,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,2.857,0.0,0.0,2.857,3.0,1.0,4
Shikhar Dhawan,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",PBKS,RCB,HOME,CHASE,3.257,4.747,3.79,6.305,6.0,7.25,60
Virat Kohli,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,3.192,3.882,5.566,6.041,6.0,7.25,56
Wanindu Hasaranga de Silva,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,PBKS,AWAY,TARGET,6.073,7.662,9.847,6.073,9.0,14.75,27
