NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abhinav Manohar,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,3.359,0.0,0.0,3.912,4.5,2.25,54
Abhishek Sharma,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,8.914,0.0,0.0,5.717,10.5,10.0,6
Aiden Markram,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,4.022,4.82,6.562,4.889,6.0,7.5,17
Bhuvneshwar Kumar,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,3.776,4.466,4.839,4.468,5.0,6.0,54
Darshan Nalkande,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,5.946,0.0,0.0,8.31,9.0,10.0,2
David Miller,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,4.143,3.062,3.422,4.656,6.0,6.25,16
Hardik Pandya,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,3.94,3.608,3.974,4.301,5.0,5.25,95
Kane Williamson,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,4.924,4.852,4.464,5.23,6.5,8.0,87
Lockie Ferguson,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,6.661,4.444,4.444,7.343,9.5,13.5,0
Marco Jansen,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,6.354,7.107,0.0,4.682,8.0,9.5,31
Matthew Wade,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,3.154,2.301,2.148,1.988,3.5,2.25,26
Mohammed Shami,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,6.954,6.199,5.755,7.822,9.5,14.75,4
Nicholas Pooran,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,4.581,3.384,3.927,5.517,6.5,7.25,60
Rahul Tewatia,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,4.939,0.0,0.0,4.939,6.0,4.0,19
Rahul Tripathi,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,4.473,0.0,0.0,4.455,6.0,4.0,44
Rashid Khan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,6.72,7.608,6.816,6.78,9.0,14.0,31
Sai Sudharsan,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,4.126,0.0,0.0,4.48,6.0,4.0,25
Shashank Singh,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,3.538,0.0,0.0,0.078,3.0,0.0,4
Shubman Gill,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",GT,SRH,AWAY,TARGET,5.925,2.786,0.0,6.416,8.0,8.5,12
T Natarajan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,5.732,3.123,3.776,5.732,7.5,8.5,68
Umran Malik,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,4.726,0.0,0.0,5.106,6.5,5.0,37
Washington Sundar,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,GT,HOME,CHASE,6.96,5.187,4.049,8.192,10.0,15.5,10
