NAME,POSITION,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Akeal Hosein,4 Bowler,WI,INDIA,AWAY,CHASE,6.701,4.653,3.737,6.309,9.0,11.75,4
Bhuvneshwar Kumar,4 Bowler,INDIA,WI,HOME,TARGET,3.77,4.228,4.56,3.642,4.5,5.25,29
Brandon King,2 Batsmen,WI,INDIA,AWAY,CHASE,3.141,3.619,4.233,3.636,4.5,4.75,36
Deepak Chahar,4 Bowler,INDIA,WI,HOME,TARGET,5.404,7.182,5.388,4.001,7.0,9.75,2
Harshal Patel,4 Bowler,INDIA,WI,HOME,TARGET,8.477,9.081,9.081,8.589,12.0,22.75,1
Ishan Kishan,1 Wicketkeeper,INDIA,WI,HOME,TARGET,5.609,3.992,4.115,6.312,8.0,10.0,0
Jason Holder,3 All Rounder,WI,INDIA,AWAY,CHASE,9.448,6.101,6.97,13.327,15.5,33.75,0
Kieron Pollard,3 All Rounder,WI,INDIA,AWAY,CHASE,3.844,2.982,2.954,4.654,5.0,4.5,7
Kyle Mayers,3 All Rounder,WI,INDIA,AWAY,CHASE,5.758,4.86,5.362,6.638,8.0,10.75,22
Nicholas Pooran,1 Wicketkeeper,WI,INDIA,AWAY,CHASE,4.207,3.083,3.545,5.776,6.5,7.25,89
Odean Smith,3 All Rounder,WI,INDIA,AWAY,CHASE,4.217,4.727,3.458,1.932,4.5,3.75,4
Ravi Bishnoi,4 Bowler,INDIA,WI,HOME,TARGET,5.145,8.418,8.418,5.703,7.5,12.25,37
Rishabh Pant,1 Wicketkeeper,INDIA,WI,HOME,TARGET,3.418,3.476,2.882,1.347,3.5,2.75,79
Rohit Sharma,2 Batsmen,INDIA,WI,HOME,TARGET,7.37,5.224,6.711,9.033,11.5,19.75,27
Romario Shepherd,3 All Rounder,WI,INDIA,AWAY,CHASE,5.363,4.171,4.343,4.976,7.0,8.0,33
Roston Chase,3 All Rounder,WI,INDIA,AWAY,CHASE,5.392,4.07,4.306,4.306,7.0,8.0,101
Rovman Powell,2 Batsmen,WI,INDIA,AWAY,CHASE,5.746,3.873,3.243,4.318,7.0,7.25,100
Sheldon Cottrell,4 Bowler,WI,INDIA,AWAY,CHASE,5.079,3.738,3.788,3.528,6.5,6.0,43
Suryakumar Yadav,2 Batsmen,INDIA,WI,HOME,TARGET,3.108,3.932,3.719,2.862,4.0,3.75,21
Venkatesh Iyer,3 All Rounder,INDIA,WI,HOME,TARGET,7.206,2.697,3.3,5.145,9.5,10.5,53
Virat Kohli,2 Batsmen,INDIA,WI,HOME,TARGET,2.932,3.81,5.234,2.862,3.0,3.75,73
Yuzvendra Chahal,4 Bowler,INDIA,WI,HOME,TARGET,6.343,4.908,4.338,4.209,8.0,9.0,37
