NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abhinav Manohar,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,3.195,0.0,0.0,3.572,4.5,2.25,14
Alzarri Joseph,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,8.2,5.342,0.0,9.724,12.5,20.5,30
Andre Russell,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,6.833,4.374,4.374,6.833,9.0,12.0,191
David Miller,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,4.373,3.062,3.422,5.039,6.5,7.25,38
Hardik Pandya,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,6.459,3.608,3.974,6.459,9.0,11.25,89
Lockie Ferguson,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,5.149,4.444,4.444,4.823,7.0,8.0,45
Mohammed Shami,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,5.028,6.199,5.755,5.154,7.5,10.5,58
Nitish Rana,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,4.253,1.278,1.518,3.147,5.5,3.75,6
Rahul Tewatia,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,3.741,0.0,0.0,3.741,4.5,2.25,25
Rashid Khan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,5.454,7.608,6.816,4.724,7.0,10.0,66
Rinku Singh,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,6.353,0.0,0.0,0.0,6.0,0.0,85
Sam Billings,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,2.684,1.502,2.003,2.794,3.0,2.0,17
Shivam Mavi,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,5.673,0.0,0.0,2.366,6.0,2.5,31
Shreyas Iyer,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,5.846,4.926,5.634,6.023,8.0,10.75,19
Shubman Gill,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,4.478,2.786,0.0,4.608,6.0,5.0,12
Sunil Narine,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,5.402,0.0,0.0,5.402,7.5,6.25,10
Tim Southee,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,7.552,6.403,6.263,7.969,10.5,16.75,86
Umesh Yadav,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,5.292,3.727,0.0,6.672,8.0,9.0,63
Varun Chakravarthy,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,1.833,1.398,1.398,1.833,1.5,1.0,4
Venkatesh Iyer,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,GT,HOME,CHASE,2.87,4.041,4.608,2.87,3.0,4.0,31
Wriddhiman Saha,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,2.248,2.737,0.0,2.126,3.0,2.0,69
Yash Dayal,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,KKR,AWAY,TARGET,6.36,0.0,0.0,7.537,9.5,10.5,52
