NAME,POSITION,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aamer Yamin,3 All Rounder,AWAY,CHASE,4.282,0.0,0.0,3.283,5.5,3.0,4
Amad Butt,3 All Rounder,HOME,TARGET,4.562,0.0,0.0,6.456,7.0,6.0,0
Babar Azam,2 Batsmen,AWAY,CHASE,5.893,5.259,5.458,6.146,8.0,11.25,85
Ben Cutting,3 All Rounder,HOME,TARGET,2.673,0.0,0.0,2.673,3.0,1.0,56
Chris Jordan,4 Bowler,AWAY,CHASE,4.277,4.024,4.024,4.005,6.0,7.0,90
Haider Ali,2 Batsmen,HOME,TARGET,2.953,2.516,2.516,2.943,3.0,2.5,6
Hazratullah Zazai,2 Batsmen,HOME,TARGET,7.078,3.081,3.081,4.493,9.0,9.25,72
Ian Cockbain,2 Batsmen,AWAY,CHASE,5.08,0.0,0.0,5.692,7.5,6.25,20
Imad Wasim,3 All Rounder,AWAY,CHASE,3.367,3.996,3.996,3.367,4.5,4.5,4
Joe Clarke,1 Wicketkeeper,AWAY,CHASE,5.394,0.0,0.0,5.394,7.5,6.25,34
Liam Livingstone,3 All Rounder,HOME,TARGET,7.87,5.441,5.892,5.621,9.5,12.5,51
Mohammad Haris,2 Batsmen,HOME,TARGET,0.786,0.0,0.0,1.178,0.5,0.0,74
Mohammad Nabi,3 All Rounder,AWAY,CHASE,4.293,4.83,5.561,4.293,6.0,7.25,56
Mohammad Umar,4 Bowler,HOME,TARGET,4.227,0.0,0.0,4.101,6.0,4.0,29
Qasim Akram,3 All Rounder,AWAY,CHASE,7.986,7.333,0.0,0.0,7.0,3.5,37
Sahibzada Farhan,2 Batsmen,AWAY,CHASE,2.641,0.0,0.0,1.644,2.5,0.5,5
Salman Irshad,4 Bowler,HOME,TARGET,4.133,0.0,0.0,4.396,6.0,4.0,64
Sharjeel Khan,2 Batsmen,AWAY,CHASE,3.012,1.309,1.309,4.62,5.0,3.75,29
Sherfane Rutherford,2 Batsmen,HOME,TARGET,2.88,0.0,0.0,2.88,3.0,1.0,17
Shoaib Malik,3 All Rounder,HOME,TARGET,4.972,2.199,2.199,4.972,6.0,5.5,48
Umaid Asif,3 All Rounder,AWAY,CHASE,6.089,0.0,0.0,6.089,9.0,9.0,37
Wahab Riaz,4 Bowler,HOME,TARGET,4.892,0.0,0.0,4.892,6.0,4.0,56
