NAME,POSITION,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Akeal Hosein,4 Bowler,AWAY,TARGET,6.519,4.727,6.04,7.349,9.5,14.0,29
Alzarri Joseph,4 Bowler,AWAY,TARGET,4.706,4.776,4.844,3.818,5.5,6.0,90
Brandon King,2 Batsmen,AWAY,TARGET,4.578,4.678,0.0,0.0,4.0,2.0,17
Darren Bravo,2 Batsmen,AWAY,TARGET,2.316,2.628,3.552,0.0,2.0,1.75,25
Deepak Hooda,3 All Rounder,HOME,CHASE,5.784,0.0,0.0,4.877,7.0,5.0,32
Fabian Allen,3 All Rounder,AWAY,TARGET,2.43,3.856,1.658,0.0,2.0,1.75,43
Ishan Kishan,1 Wicketkeeper,HOME,CHASE,5.014,3.723,3.629,0.0,5.0,2.25,36
Jason Holder,3 All Rounder,AWAY,TARGET,7.945,5.983,3.458,3.053,8.5,8.5,73
Kemar Roach,4 Bowler,AWAY,TARGET,6.844,5.705,0.0,0.0,6.0,2.5,8
Kieron Pollard,3 All Rounder,AWAY,TARGET,4.25,3.044,3.382,3.505,5.5,5.25,1
Mohammed Siraj,4 Bowler,HOME,CHASE,4.947,4.005,0.0,0.0,4.0,2.0,49
Nicholas Pooran,1 Wicketkeeper,AWAY,TARGET,4.066,2.952,1.724,0.547,4.0,1.25,25
Prasidh Krishna,4 Bowler,HOME,CHASE,4.86,5.804,5.804,5.504,6.5,8.75,58
Rishabh Pant,1 Wicketkeeper,HOME,CHASE,2.89,3.57,5.55,4.161,4.0,4.75,45
Rohit Sharma,2 Batsmen,HOME,CHASE,7.425,5.372,2.988,0.0,7.0,3.0,82
Shai Hope,1 Wicketkeeper,AWAY,TARGET,2.308,3.906,6.231,3.704,3.5,4.5,14
Shamarh Brooks,2 Batsmen,AWAY,TARGET,3.96,4.247,4.952,4.952,5.0,6.0,14
Shardul Thakur,4 Bowler,HOME,CHASE,4.567,6.181,6.686,6.966,7.0,10.5,4
Suryakumar Yadav,2 Batsmen,HOME,CHASE,2.959,3.763,4.383,2.563,3.0,3.5,59
Virat Kohli,2 Batsmen,HOME,CHASE,2.577,4.14,4.285,3.999,3.5,4.5,14
Washington Sundar,3 All Rounder,HOME,CHASE,6.548,4.738,0.0,8.043,10.0,14.0,103
Yuzvendra Chahal,4 Bowler,HOME,CHASE,5.574,4.141,3.917,6.497,8.0,10.25,124
