NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Chris Gayle,3 All Rounder,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,3.996,2.642,2.642,3.36,4.5,3.75,28
Dwayne Bravo,3 All Rounder,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,5.838,4.568,4.568,9.182,9.5,14.25,82
Imrul Kayes,2 Batsmen,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,4.798,0.0,0.0,4.741,6.0,4.0,21
Karim Janat,3 All Rounder,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,4.253,6.087,6.087,6.037,7.0,10.5,57
Litton Das,1 Wicketkeeper,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,5.067,3.021,2.088,4.432,7.0,7.0,27
Mahmudul Hasan Joy,2 Batsmen,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,4.103,2.422,0.0,3.424,5.5,4.0,10
Mehedi Hasan Rana,4 Bowler,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,4.192,0.0,0.0,6.888,7.0,6.0,4
Moeen Ali,3 All Rounder,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,4.469,5.653,6.783,5.725,6.5,9.0,33
Mominul Haque,2 Batsmen,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,3.939,4.244,0.0,4.364,5.0,5.0,57
Mujeeb Ur Rahman,4 Bowler,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,5.997,8.053,10.076,5.563,7.5,12.75,6
Munim Shahriar,2 Batsmen,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,2.506,0.0,0.0,2.769,3.0,1.0,69
Mustafizur Rahman,4 Bowler,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,7.636,5.846,6.131,8.843,11.0,18.0,37
Nahidul Islam,3 All Rounder,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,6.081,0.0,0.0,7.591,9.5,10.5,3
Najmul Hossain Shanto,2 Batsmen,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,3.206,2.912,3.142,3.169,4.5,4.0,44
Nayeem Hasan,4 Bowler,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,8.555,4.478,0.0,6.003,11.0,14.0,91
Nurul Hasan,1 Wicketkeeper,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,1.896,1.593,1.328,1.653,1.5,1.0,39
Shakib Al Hasan,3 All Rounder,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,8.225,8.726,8.539,8.16,12.0,22.0,126
Sumon Khan,4 Bowler,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,3.657,0.0,0.0,3.928,4.5,2.25,21
Sunil Narine,3 All Rounder,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,5.954,0.0,0.0,5.954,7.5,6.25,9
Tanvir Islam,4 Bowler,Sylhet International Cricket Stadium,CV,BRSAL,HOME,CHASE,6.688,0.0,0.0,6.575,9.0,9.0,79
Towhid Hridoy,2 Batsmen,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,3.238,0.0,0.0,2.018,4.0,1.5,49
Ziaur Rahman,3 All Rounder,Sylhet International Cricket Stadium,BRSAL,CV,AWAY,TARGET,1.643,0.0,0.0,1.169,1.5,0.25,4
