NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Ambati Rayudu,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,3.555,0.0,0.0,3.853,4.5,2.25,115
Arshdeep Singh,4 Bowler,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,3.059,0.0,0.0,1.535,3.5,0.75,41
Bhanuka Rajapaksa,2 Batsmen,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,2.906,2.707,2.999,2.906,3.0,2.5,58
Dwaine Pretorius,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,6.826,6.424,6.686,7.085,9.5,15.0,-1
Dwayne Bravo,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,7.085,4.568,4.568,7.085,10.5,15.25,52
Jitesh Sharma,1 Wicketkeeper,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,2.496,0.0,0.0,3.436,3.5,1.5,4
Jonny Bairstow,1 Wicketkeeper,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,3.537,3.313,2.587,1.613,3.5,2.75,19
Kagiso Rabada,4 Bowler,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,6.411,6.37,6.339,5.214,8.5,12.0,66
Liam Livingstone,3 All Rounder,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,4.965,5.441,5.892,4.965,6.0,7.75,28
MS Dhoni,1 Wicketkeeper,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,2.556,0.0,0.0,2.556,3.0,1.0,25
Maheesh Theekshana,4 Bowler,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,5.856,4.635,4.549,5.53,7.5,9.25,29
Mayank Agarwal,2 Batsmen,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,2.695,3.329,0.0,3.107,3.5,3.0,32
Mitchell Santner,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,8.021,3.546,3.465,9.356,12.5,20.25,24
Mukesh Choudhary,4 Bowler,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,4.075,0.0,0.0,4.486,6.0,4.0,12
Rahul Chahar,4 Bowler,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,5.313,6.582,5.891,5.704,7.5,10.5,2
Ravindra Jadeja,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,6.5,7.582,8.209,4.705,8.0,11.5,30
Rishi Dhawan,3 All Rounder,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,9.801,0.0,0.0,0.0,9.0,0.0,70
Robin Uthappa,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,5.372,0.0,0.0,5.372,7.5,6.25,5
Ruturaj Gaikwad,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,3.842,2.552,2.552,2.198,4.0,3.0,42
Sandeep Sharma,4 Bowler,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,2.326,0.0,0.0,1.569,2.5,0.5,27
Shikhar Dhawan,2 Batsmen,"Wankhede Stadium, Mumbai",PBKS,CSK,HOME,TARGET,4.217,4.747,3.79,4.54,6.0,6.75,115
Shivam Dube,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,PBKS,AWAY,CHASE,3.764,0.0,0.0,4.805,5.0,3.0,29
