NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Ahsan Ali,2 Batsmen,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,5.428,0.0,0.0,6.798,8.0,7.5,53
Alex Hales,2 Batsmen,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,6.146,0.0,0.0,6.146,9.0,9.0,90
Asif Ali,2 Batsmen,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,1.128,1.25,1.284,1.128,1.5,1.0,19
Azam Khan,1 Wicketkeeper,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,2.209,0.24,0.24,2.759,3.0,1.0,2
Faheem Ashraf,3 All Rounder,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,2.823,3.352,3.657,2.146,3.0,3.25,86
Ghulam Mudassar,4 Bowler,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,3.041,0.0,0.0,8.183,7.0,6.0,-2
Hasan Ali,4 Bowler,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,5.55,6.697,5.877,5.096,7.5,10.5,-2
Iftikhar Ahmed,2 Batsmen,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,3.366,1.745,1.745,2.028,4.0,2.25,8
James Faulkner,3 All Rounder,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,4.638,0.0,0.0,4.453,6.0,4.0,59
James Vince,2 Batsmen,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,3.303,4.303,3.777,3.072,4.5,5.0,40
Jason Roy,2 Batsmen,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,6.229,4.527,4.66,5.201,8.5,10.5,84
Liam Dawson,3 All Rounder,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,4.25,0.478,0.478,3.408,5.5,3.0,51
Mohammad Wasim,3 All Rounder,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,5.674,5.7,5.7,6.0,8.0,11.25,47
Muhammad Akhlaq,1 Wicketkeeper,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,3.587,0.0,0.0,3.018,4.5,2.25,2
Naseem Shah,4 Bowler,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,4.656,0.67,0.0,5.589,6.5,5.0,41
Noor Ahmad,4 Bowler,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,8.402,8.971,0.0,7.413,11.5,18.0,39
Rahmanullah Gurbaz,1 Wicketkeeper,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,4.91,4.734,4.019,4.805,6.0,7.0,29
Sarfaraz Ahmed,1 Wicketkeeper,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,1.289,0.781,0.544,1.468,1.5,0.25,87
Shadab Khan,3 All Rounder,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,8.321,5.009,5.289,8.321,12.0,19.75,114
Shahid Afridi,3 All Rounder,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,3.943,0.0,0.0,1.425,3.5,0.75,76
Umar Akmal,2 Batsmen,"Gaddafi Stadium, Lahore",QG,IU,AWAY,CHASE,2.446,0.0,0.0,0.0,2.0,0.0,33
Zeeshan Zameer,3 All Rounder,"Gaddafi Stadium, Lahore",IU,QG,HOME,TARGET,6.244,6.865,0.0,0.0,6.0,3.0,4
