NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Afif Hossain,3 All Rounder,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,4.091,2.829,2.598,3.53,5.5,4.5,12
Azmatullah Omarzai,3 All Rounder,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,7.735,3.286,5.007,6.882,10.0,13.25,87
Darwish Rasooli,2 Batsmen,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,5.173,0.143,0.143,0.286,5.0,0.0,15
Fazalhaq Farooqi,4 Bowler,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,4.973,4.665,3.731,3.911,5.5,5.75,105
Hazratullah Zazai,2 Batsmen,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,4.567,2.324,2.324,3.411,5.5,4.5,94
Karim Janat,3 All Rounder,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,4.972,4.955,4.955,5.39,6.5,8.0,16
Litton Das,1 Wicketkeeper,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,5.269,3.614,2.449,3.557,6.5,5.75,29
Mahedi Hasan,3 All Rounder,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,4.307,4.634,4.786,4.307,6.0,7.0,33
Mahmudullah,3 All Rounder,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,4.376,4.182,3.991,4.596,6.0,6.75,63
Mohammad Nabi,3 All Rounder,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,3.903,4.568,5.197,3.704,4.5,5.5,43
Mohammad Naim,2 Batsmen,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,1.012,3.281,3.457,0.956,1.0,2.25,3
Munim Shahriar,2 Batsmen,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,3.65,1.216,1.216,4.494,5.0,3.75,3
Mushfiqur Rahim,1 Wicketkeeper,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,3.579,3.486,2.273,3.514,4.5,4.25,42
Mustafizur Rahman,4 Bowler,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,4.732,5.467,5.736,5.046,6.5,8.75,16
Najibullah Zadran,2 Batsmen,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,4.204,4.107,4.854,3.857,5.5,6.0,4
Nasum Ahmed,4 Bowler,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,4.289,5.788,5.788,4.289,6.0,7.75,9
Rahmanullah Gurbaz,1 Wicketkeeper,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,3.668,4.36,3.215,2.873,4.0,4.25,15
Rashid Khan,4 Bowler,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,6.23,7.364,6.327,6.08,9.0,14.0,37
Shakib Al Hasan,3 All Rounder,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,9.537,8.36,8.078,10.346,14.0,28.5,9
Sharafuddin Ashraf,3 All Rounder,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,2.031,0.069,0.115,0.172,2.0,0.0,24
Shoriful Islam,4 Bowler,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,4.899,5.005,5.54,5.592,6.5,8.75,4
Usman Ghani,2 Batsmen,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,3.438,2.657,3.286,5.718,5.5,5.5,62
