NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Akash Deep,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,5.41,0.0,0.0,5.067,7.5,6.25,45
Anuj Rawat,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,3.099,0.0,0.0,2.719,4.0,1.5,94
Basil Thampi,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,4.641,0.0,0.0,3.962,5.5,3.0,16
David Willey,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,6.143,5.61,4.025,6.143,9.0,12.5,10
Dewald Brevis,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,7.072,12.923,0.0,6.614,10.0,16.5,46
Dinesh Karthik,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,5.196,0.0,0.0,5.082,7.5,6.25,21
Faf du Plessis,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,5.469,1.164,0.0,5.469,7.5,6.75,19
Glenn Maxwell,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,7.942,4.237,4.237,10.122,12.0,20.5,26
Harshal Patel,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,6.352,5.916,5.916,5.279,8.5,11.25,66
Ishan Kishan,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,6.266,4.658,4.931,6.623,9.0,12.0,33
Jasprit Bumrah,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,4.448,5.6,5.802,2.845,5.0,5.75,4
Jaydev Unadkat,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,6.129,0.0,0.0,15.373,13.5,22.5,43
Kieron Pollard,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,3.631,2.847,2.768,4.034,5.0,4.5,2
Mohammed Siraj,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,4.081,4.248,4.474,4.242,6.0,7.0,6
Murugan Ashwin,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,3.609,0.0,0.0,3.641,4.5,2.25,4
Ramandeep Singh,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,2.489,0.0,0.0,3.159,3.5,1.5,18
Rohit Sharma,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,2.716,4.731,5.544,2.759,3.0,4.25,42
Shahbaz Ahmed,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,7.533,0.0,0.0,3.96,8.5,5.25,4
Suryakumar Yadav,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,4.794,4.066,3.951,6.476,7.0,8.75,111
Tilak Varma,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,AWAY,TARGET,5.303,0.0,0.0,6.139,8.0,7.5,2
Virat Kohli,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,2.953,3.882,5.566,4.338,4.0,4.75,63
Wanindu Hasaranga de Silva,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",RCB,MI,HOME,CHASE,7.704,7.662,9.847,7.704,10.5,18.0,72
