NAME,POSITION,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aaron Finch,2 Batsmen,AUS,SL,HOME,CHASE,6.162,4.368,4.368,6.162,9.0,12.0,28
Adam Zampa,4 Bowler,AUS,SL,HOME,CHASE,5.474,5.926,5.697,5.474,7.5,10.0,31
Ashton Agar,4 Bowler,AUS,SL,HOME,CHASE,5.416,5.473,5.111,5.416,7.5,10.0,71
Ben McDermott,1 Wicketkeeper,AUS,SL,HOME,CHASE,5.015,2.454,2.655,5.015,7.5,7.75,14
Chamika Karunaratne,4 Bowler,SL,AUS,AWAY,TARGET,5.175,3.829,3.154,4.364,7.0,7.25,19
Charith Asalanka,3 All Rounder,SL,AUS,AWAY,TARGET,4.734,4.62,4.44,2.396,5.0,5.0,29
Daniel Sams,3 All Rounder,AUS,SL,HOME,CHASE,6.562,3.887,3.887,6.562,9.0,11.25,6
Danushka Gunathilaka,3 All Rounder,SL,AUS,AWAY,TARGET,2.847,3.956,2.369,3.055,3.5,3.5,31
Dasun Shanaka,3 All Rounder,SL,AUS,AWAY,TARGET,3.14,3.537,4.137,2.619,4.0,4.0,5
Dinesh Chandimal,1 Wicketkeeper,SL,AUS,AWAY,TARGET,2.933,3.203,3.798,3.159,3.5,3.75,14
Dushmantha Chameera,4 Bowler,SL,AUS,AWAY,TARGET,5.228,4.785,4.912,5.576,7.5,9.25,30
Glenn Maxwell,3 All Rounder,AUS,SL,HOME,CHASE,7.565,3.922,3.922,7.565,10.5,14.5,69
Jeffrey Vandersay,4 Bowler,SL,AUS,AWAY,TARGET,8.391,7.768,5.051,9.346,12.5,22.75,8
Jhye Richardson,4 Bowler,AUS,SL,HOME,CHASE,7.94,4.172,3.642,5.992,9.5,11.5,66
Josh Inglis,1 Wicketkeeper,AUS,SL,HOME,CHASE,3.619,4.876,4.876,3.619,4.5,5.25,69
Kane Richardson,4 Bowler,AUS,SL,HOME,CHASE,7.692,6.297,6.297,7.692,10.5,16.75,52
Kusal Mendis,1 Wicketkeeper,SL,AUS,AWAY,TARGET,4.973,2.236,2.769,5.299,6.5,6.5,44
Lahiru Kumara,4 Bowler,SL,AUS,AWAY,TARGET,5.158,5.258,5.801,5.158,7.5,10.0,58
Maheesh Theekshana,4 Bowler,SL,AUS,AWAY,TARGET,4.526,4.897,4.878,5.055,6.5,8.0,44
Marcus Stoinis,3 All Rounder,AUS,SL,HOME,CHASE,3.982,3.362,3.362,3.982,4.5,4.5,13
Matthew Wade,1 Wicketkeeper,AUS,SL,HOME,CHASE,2.441,2.209,2.026,2.441,3.0,2.5,22
Pathum Nissanka,2 Batsmen,SL,AUS,AWAY,TARGET,4.751,3.455,4.372,4.512,6.0,6.5,58
