NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Adam Milne,4 Bowler,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,5.027,3.302,3.302,2.538,6.0,4.75,4
Ajinkya Rahane,2 Batsmen,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,4.679,1.987,0.0,9.077,8.5,9.5,60
Ambati Rayudu,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,2.724,0.0,0.0,2.17,3.0,1.0,30
Andre Russell,3 All Rounder,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,6.312,4.374,4.374,6.312,9.0,12.0,29
Devon Conway,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,4.472,5.928,4.985,5.726,6.5,8.5,7
Dwayne Bravo,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,8.81,4.568,4.568,8.81,12.0,19.0,87
MS Dhoni,1 Wicketkeeper,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,1.345,0.0,0.0,1.345,1.5,0.25,81
Mitchell Santner,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,8.931,3.546,3.465,10.528,13.0,22.25,29
Nitish Rana,2 Batsmen,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,4.968,1.278,1.518,4.775,6.0,4.75,37
Ravindra Jadeja,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,9.933,7.582,8.209,8.993,13.0,23.5,42
Robin Uthappa,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,5.769,0.0,0.0,5.522,7.5,6.25,40
Ruturaj Gaikwad,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,10.312,2.552,2.552,6.921,13.0,16.5,2
Sam Billings,1 Wicketkeeper,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,2.886,1.502,2.003,3.019,3.5,2.5,32
Sheldon Jackson,1 Wicketkeeper,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,4.66,0.0,0.0,0.0,4.0,0.0,19
Shivam Dube,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,2.812,0.0,0.0,3.952,3.5,1.5,7
Shivam Mavi,3 All Rounder,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,6.821,0.0,0.0,6.19,9.0,9.0,4
Shreyas Iyer,2 Batsmen,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,6.589,4.926,5.634,10.318,11.0,18.25,39
Sunil Narine,3 All Rounder,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,4.688,0.0,0.0,4.688,6.0,4.0,24
Tushar Deshpande,4 Bowler,"Wankhede Stadium, Mumbai",CSK,KKR,HOME,TARGET,5.209,0.0,0.0,8.21,9.0,10.0,12
Umesh Yadav,4 Bowler,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,3.902,3.727,0.0,4.11,5.0,4.5,58
Varun Chakravarthy,4 Bowler,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,3.014,1.398,1.398,3.349,4.5,3.0,33
Venkatesh Iyer,3 All Rounder,"Wankhede Stadium, Mumbai",KKR,CSK,AWAY,CHASE,4.19,4.041,4.608,5.385,6.5,8.0,22
