NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abhinav Manohar,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,3.707,0.0,0.0,4.212,5.0,3.0,63
David Miller,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,3.082,3.062,3.422,2.887,4.0,3.75,60
Devdutt Padikkal,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,3.518,3.713,3.713,4.43,5.0,5.25,2
Hardik Pandya,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,5.084,3.608,3.974,5.325,7.5,8.5,164
James Neesham,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,4.149,4.356,3.338,3.849,5.5,5.75,22
Jos Buttler,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,4.382,4.55,7.283,7.537,7.5,10.75,86
Kuldeep Sen,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,2.696,0.0,0.0,3.631,3.5,1.5,23
Lockie Ferguson,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,5.542,4.444,4.444,5.478,7.5,9.25,95
Matthew Wade,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,3.438,2.301,2.148,2.344,4.0,3.0,27
Mohammed Shami,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,5.371,6.199,5.755,4.658,7.0,9.25,29
Prasidh Krishna,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,6.94,7.057,0.0,3.57,7.5,8.0,8
Rahul Tewatia,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,4.786,0.0,0.0,4.786,6.0,4.0,12
Rashid Khan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,5.839,7.608,6.816,5.521,7.5,11.25,6
Rassie van der Dussen,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,4.655,4.269,4.029,0.591,4.0,3.0,20
Ravichandran Ashwin,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,4.236,8.808,8.415,1.886,4.5,7.0,22
Riyan Parag,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,5.061,0.0,0.0,0.898,5.0,0.0,50
Sanju Samson,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,3.005,2.989,2.613,3.661,4.5,3.75,25
Shimron Hetmyer,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,4.685,2.761,2.982,5.611,6.5,6.5,51
Shubman Gill,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,5.817,2.786,0.0,6.282,8.0,8.5,35
Vijay Shankar,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,2.22,0.0,0.0,1.795,2.5,0.5,14
Yash Dayal,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",GT,RR,AWAY,TARGET,6.452,0.0,0.0,7.246,9.5,10.5,81
Yuzvendra Chahal,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,GT,HOME,CHASE,7.699,4.831,4.391,7.351,10.5,15.25,34
