NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aamer Azmat,Unknown,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,6.485,0.0,0.0,0.0,6.0,0.0,9
Asif Afridi,3 All Rounder,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,6.178,0.0,0.0,2.388,7.0,3.0,78
Asif Ali,2 Batsmen,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,2.337,1.25,1.284,2.337,3.0,1.75,22
Athar Mahmood,4 Bowler,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,6.592,0.0,0.0,3.869,7.5,4.5,6
Azam Khan,1 Wicketkeeper,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,3.241,0.24,0.24,3.23,4.5,2.25,18
Danish Aziz,3 All Rounder,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,6.971,3.492,6.38,2.134,7.0,6.0,4
David Willey,3 All Rounder,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,5.849,5.61,4.025,6.087,8.0,11.0,74
Imran Tahir,4 Bowler,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,6.587,0.0,0.0,6.456,9.0,9.0,60
Khushdil Shah,2 Batsmen,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,7.231,2.074,2.074,7.231,10.5,13.75,14
Liam Dawson,3 All Rounder,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,4.783,0.478,0.478,4.126,6.0,4.0,130
Marchant de Lange,4 Bowler,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,2.604,0.0,0.0,2.133,3.0,1.0,4
Mohammad Huraira,3 All Rounder,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,5.715,0.0,0.0,0.0,5.0,0.0,67
Mohammad Rizwan,1 Wicketkeeper,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,8.392,5.95,7.6,8.392,12.0,20.25,6
Muhammad Musa,4 Bowler,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,3.902,0.0,0.0,0.461,3.0,0.0,36
Nasir Nawaz,Unknown,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,6.357,0.0,0.0,4.206,8.0,6.0,12
Rilee Rossouw,2 Batsmen,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,4.139,0.0,0.0,3.417,5.5,3.0,4
Rumman Raees,4 Bowler,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,3.623,0.0,0.0,3.724,4.5,2.25,12
Shahnawaz Dahani,4 Bowler,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,5.688,4.481,4.481,5.812,7.5,9.25,31
Shan Masood,2 Batsmen,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,7.961,0.0,0.0,7.557,10.5,12.25,24
Tim David,3 All Rounder,"Gaddafi Stadium, Lahore",MS,IU,HOME,CHASE,3.679,0.0,0.0,3.679,4.5,2.25,60
Zafar Gohar,4 Bowler,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,5.648,3.962,0.0,2.971,6.0,4.0,15
Zahid Mahmood,4 Bowler,"Gaddafi Stadium, Lahore",IU,MS,AWAY,TARGET,4.74,10.981,10.981,4.391,6.0,11.5,36
