NAME,POSITION,TEAM_NAME,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Alex Hales,2 Batsmen,IU,HOME,TARGET,5.236,0.0,0.0,5.236,7.5,6.25,44
Asif Ali,2 Batsmen,IU,HOME,TARGET,1.121,1.25,1.284,1.121,1.5,1.0,103
Azam Khan,1 Wicketkeeper,IU,HOME,TARGET,1.967,0.24,0.24,2.299,2.0,0.5,42
Babar Azam,2 Batsmen,KK,AWAY,CHASE,6.699,5.259,5.458,6.502,9.0,12.75,36
Chris Jordan,4 Bowler,KK,AWAY,CHASE,4.995,4.024,4.024,4.803,6.0,7.0,29
Faheem Ashraf,3 All Rounder,IU,HOME,TARGET,3.241,3.352,3.657,3.049,4.5,4.5,42
Hasan Ali,4 Bowler,IU,HOME,TARGET,5.1,6.697,5.877,4.534,7.0,9.25,12
Imad Wasim,3 All Rounder,KK,AWAY,CHASE,3.367,3.996,3.996,3.367,4.5,4.5,151
Joe Clarke,1 Wicketkeeper,KK,AWAY,CHASE,5.122,0.0,0.0,5.122,7.5,6.25,2
Jordan Thompson,3 All Rounder,KK,AWAY,CHASE,3.766,0.0,0.0,3.766,4.5,2.25,25
Liam Dawson,3 All Rounder,IU,HOME,TARGET,4.773,0.478,0.478,4.453,6.0,4.0,56
Mir Hamza,4 Bowler,KK,AWAY,CHASE,5.122,0.0,0.0,3.921,6.5,3.75,7
Mohammad Nabi,3 All Rounder,KK,AWAY,CHASE,4.8,4.83,5.561,4.8,6.0,7.25,7
Muhammad Akhlaq,1 Wicketkeeper,IU,HOME,TARGET,3.475,0.0,0.0,2.832,4.0,1.5,6
Qasim Akram,3 All Rounder,KK,AWAY,CHASE,7.875,7.333,0.0,3.962,8.5,8.75,77
Rahmanullah Gurbaz,1 Wicketkeeper,IU,HOME,TARGET,5.172,4.734,4.019,5.178,7.5,9.25,28
Sahibzada Farhan,2 Batsmen,KK,AWAY,CHASE,2.311,0.0,0.0,1.272,2.5,0.5,31
Shadab Khan,3 All Rounder,IU,HOME,TARGET,9.518,5.009,5.289,9.518,13.5,24.0,49
Sharjeel Khan,2 Batsmen,KK,AWAY,CHASE,2.664,1.309,1.309,4.039,4.0,2.75,66
Umaid Asif,3 All Rounder,KK,AWAY,CHASE,5.285,0.0,0.0,5.285,7.5,6.25,29
Waqas Maqsood,4 Bowler,IU,HOME,TARGET,4.592,0.0,0.0,7.133,7.5,7.0,103
Zeeshan Zameer,3 All Rounder,IU,HOME,TARGET,5.492,6.865,0.0,0.0,5.0,3.0,29
