NAME,POSITION,TEAM_NAME,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aaron Finch,2 Batsmen,AUS,HOME,TARGET,5.131,4.438,4.438,5.131,7.5,9.25,18
Adam Zampa,4 Bowler,AUS,HOME,TARGET,4.469,5.805,5.537,4.469,6.0,7.75,91
Avishka Fernando,2 Batsmen,SL,AWAY,CHASE,5.441,2.459,1.596,5.828,7.5,7.5,12
Ben McDermott,1 Wicketkeeper,AUS,HOME,TARGET,7.794,2.038,2.194,7.794,10.5,13.75,81
Binura Fernando,4 Bowler,SL,AWAY,CHASE,4.407,4.065,5.956,6.873,7.0,9.25,70
Chamika Karunaratne,4 Bowler,SL,AWAY,CHASE,4.824,3.928,3.201,3.862,5.5,5.25,88
Charith Asalanka,3 All Rounder,SL,AWAY,CHASE,6.836,5.112,5.53,5.899,8.5,11.25,22
Danushka Gunathilaka,3 All Rounder,SL,AWAY,CHASE,3.431,4.782,3.226,3.703,4.5,5.0,5
Dasun Shanaka,3 All Rounder,SL,AWAY,CHASE,2.49,3.44,4.05,1.691,2.5,3.0,15
Dinesh Chandimal,1 Wicketkeeper,SL,AWAY,CHASE,3.907,3.111,3.791,4.782,5.0,5.25,38
Dushmantha Chameera,4 Bowler,SL,AWAY,CHASE,5.122,4.722,4.805,5.444,7.5,9.25,67
Glenn Maxwell,3 All Rounder,AUS,HOME,TARGET,7.985,3.556,3.556,7.985,10.5,14.5,12
Josh Hazlewood,4 Bowler,AUS,HOME,TARGET,5.765,6.85,6.889,7.592,8.5,13.25,128
Josh Inglis,1 Wicketkeeper,AUS,HOME,TARGET,2.338,0.0,0.0,2.732,3.0,1.0,30
Maheesh Theekshana,4 Bowler,SL,AWAY,CHASE,4.925,4.538,4.37,5.721,6.5,8.0,4
Marcus Stoinis,3 All Rounder,AUS,HOME,TARGET,3.587,3.101,3.101,3.587,4.5,4.5,64
Matthew Wade,1 Wicketkeeper,AUS,HOME,TARGET,3.037,2.362,2.189,3.037,4.5,3.75,16
Mitchell Starc,4 Bowler,AUS,HOME,TARGET,6.376,6.544,5.282,5.34,8.5,11.75,11
Pat Cummins,4 Bowler,AUS,HOME,TARGET,5.599,5.728,3.531,3.412,6.5,7.0,31
Pathum Nissanka,2 Batsmen,SL,AWAY,CHASE,3.735,3.161,3.867,1.926,3.5,3.0,51
Steven Smith,2 Batsmen,AUS,HOME,TARGET,1.486,2.905,1.747,0.209,1.0,1.25,30
Wanindu Hasaranga de Silva,3 All Rounder,SL,AWAY,CHASE,6.026,7.483,9.735,6.026,9.0,14.75,113
