NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Anmolpreet Singh,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,2.854,0.0,0.0,0.634,2.0,0.0,10
Basil Thampi,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,5.919,0.0,0.0,11.886,10.5,13.75,4
Daniel Sams,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,4.099,3.726,3.726,3.122,5.5,5.25,2
Devdutt Padikkal,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,3.52,3.713,3.713,4.435,5.0,5.25,20
Ishan Kishan,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,5.984,4.658,4.931,6.768,8.0,10.5,87
Jasprit Bumrah,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,4.637,5.6,5.802,1.465,4.5,4.75,97
Jos Buttler,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,5.251,4.55,7.283,7.729,8.5,12.5,159
Kieron Pollard,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,2.964,2.847,2.768,3.294,3.5,3.0,52
Murugan Ashwin,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,3.906,0.0,0.0,3.971,4.5,2.25,9
Navdeep Saini,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,4.475,1.815,0.185,3.616,5.5,3.5,60
Prasidh Krishna,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,7.631,7.057,0.0,5.94,9.5,12.25,29
Ravichandran Ashwin,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,6.115,8.808,8.415,0.0,6.0,6.0,38
Riyan Parag,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,7.617,0.0,0.0,5.345,9.5,8.75,18
Rohit Sharma,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,3.343,4.731,5.544,3.85,4.5,5.5,24
Sanju Samson,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,3.252,2.989,2.613,4.591,5.0,4.5,59
Shimron Hetmyer,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,3.392,2.761,2.982,4.355,5.0,4.5,58
Tilak Varma,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,5.496,0.0,0.0,2.574,6.0,2.5,114
Tim David,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,4.554,0.0,0.0,4.554,6.0,4.0,21
Trent Boult,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,5.754,7.153,6.942,5.387,7.5,11.25,30
Tymal Mills,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,RR,HOME,CHASE,4.757,5.364,5.364,4.164,6.0,7.75,83
Yashasvi Jaiswal,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,2.46,0.0,0.0,1.364,2.5,0.5,5
Yuzvendra Chahal,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RR,MI,AWAY,TARGET,5.25,4.831,4.391,5.733,7.5,9.25,64
