NAME,POSITION,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Asif Ali,2 Batsmen,IU,PZ,HOME,CHASE,2.153,1.25,1.284,2.153,3.0,1.75,25
Azam Khan,1 Wicketkeeper,IU,PZ,HOME,CHASE,2.189,0.24,0.24,2.387,3.0,1.0,123
Ben Cutting,3 All Rounder,PZ,IU,AWAY,TARGET,3.584,0.0,0.0,3.584,4.5,2.25,55
Danish Aziz,3 All Rounder,IU,PZ,HOME,CHASE,8.735,3.492,6.38,0.0,8.0,3.0,2
Faheem Ashraf,3 All Rounder,IU,PZ,HOME,CHASE,3.129,3.352,3.657,3.161,4.5,4.5,102
Hazratullah Zazai,2 Batsmen,PZ,IU,AWAY,TARGET,5.682,3.081,3.081,4.372,7.0,7.25,19
Hussain Talat,3 All Rounder,PZ,IU,AWAY,TARGET,4.543,1.209,1.209,5.011,6.5,5.75,45
Liam Dawson,3 All Rounder,IU,PZ,HOME,CHASE,4.264,0.478,0.478,3.437,5.5,3.0,33
Liam Livingstone,3 All Rounder,PZ,IU,AWAY,TARGET,5.904,5.441,5.892,5.144,7.5,10.0,17
Marchant de Lange,4 Bowler,IU,PZ,HOME,CHASE,3.288,0.0,0.0,2.106,4.0,1.5,50
Mohammad Haris,2 Batsmen,PZ,IU,AWAY,TARGET,1.771,0.0,0.0,4.462,3.0,1.0,113
Mubasir Khan,3 All Rounder,IU,PZ,HOME,CHASE,3.952,0.0,0.0,0.953,3.0,0.0,29
Muhammad Musa,4 Bowler,IU,PZ,HOME,CHASE,4.197,0.0,0.0,1.938,4.5,1.0,13
Rahmanullah Gurbaz,1 Wicketkeeper,IU,PZ,HOME,CHASE,5.025,4.734,4.019,4.969,7.0,8.0,89
Salman Irshad,4 Bowler,PZ,IU,AWAY,TARGET,4.593,0.0,0.0,5.491,6.5,5.0,83
Sherfane Rutherford,2 Batsmen,PZ,IU,AWAY,TARGET,2.709,0.0,0.0,2.709,3.0,1.0,24
Shoaib Malik,3 All Rounder,PZ,IU,AWAY,TARGET,5.54,2.199,2.199,5.54,7.5,7.75,64
Usman Qadir,4 Bowler,PZ,IU,AWAY,TARGET,5.702,3.781,3.879,5.751,7.5,8.5,5
Wahab Riaz,4 Bowler,PZ,IU,AWAY,TARGET,4.272,0.0,0.0,4.272,6.0,4.0,56
Waqas Maqsood,4 Bowler,IU,PZ,HOME,CHASE,5.413,0.0,0.0,7.83,8.5,8.75,54
Yasir Khan,2 Batsmen,PZ,IU,AWAY,TARGET,3.01,0.0,0.0,3.834,4.5,2.25,52
Zahir Khan,4 Bowler,IU,PZ,HOME,CHASE,2.266,3.897,0.0,2.266,3.0,2.5,33
