NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aaron Finch,2 Batsmen,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,3.091,3.82,4.214,3.605,4.5,4.75,8
Andre Russell,3 All Rounder,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,8.365,4.374,4.374,8.365,12.0,19.0,4
Anukul Roy,3 All Rounder,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,4.294,0.0,0.0,2.721,5.0,2.0,39
Baba Indrajith,2 Batsmen,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,4.792,0.0,0.0,0.894,4.0,0.0,21
Devdutt Padikkal,2 Batsmen,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,4.34,3.713,3.713,3.575,5.5,5.25,6
Jos Buttler,1 Wicketkeeper,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,8.339,4.55,7.283,9.207,12.5,21.75,29
Karun Nair,2 Batsmen,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,3.129,0.0,0.0,2.403,4.0,1.5,18
Kuldeep Sen,4 Bowler,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,4.43,0.0,0.0,6.108,7.0,6.0,37
Nitish Rana,2 Batsmen,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,3.981,1.278,1.518,3.422,4.5,3.0,63
Prasidh Krishna,4 Bowler,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,4.922,7.057,0.0,4.509,6.0,7.5,29
Ravichandran Ashwin,3 All Rounder,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,4.971,8.808,8.415,4.465,6.0,10.0,18
Rinku Singh,2 Batsmen,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,4.992,0.0,0.0,4.114,6.0,4.0,80
Riyan Parag,2 Batsmen,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,2.932,0.0,0.0,2.113,3.0,1.0,32
Sanju Samson,1 Wicketkeeper,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,3.842,2.989,2.613,3.842,4.5,3.75,83
Shimron Hetmyer,2 Batsmen,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,3.486,2.761,2.982,3.836,4.5,3.75,42
Shivam Mavi,3 All Rounder,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,4.873,0.0,0.0,2.7,5.0,2.0,37
Shreyas Iyer,2 Batsmen,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,5.063,4.926,5.634,4.67,7.0,8.25,47
Sunil Narine,3 All Rounder,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,4.282,0.0,0.0,4.282,6.0,4.0,10
Tim Southee,4 Bowler,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,7.509,6.403,6.263,7.181,10.5,16.75,50
Trent Boult,4 Bowler,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,4.781,7.153,6.942,4.781,6.0,9.0,31
Umesh Yadav,4 Bowler,"Wankhede Stadium, Mumbai",KKR,RR,HOME,CHASE,6.634,3.727,0.0,7.041,9.5,12.0,51
Yuzvendra Chahal,4 Bowler,"Wankhede Stadium, Mumbai",RR,KKR,AWAY,TARGET,7.344,4.831,4.391,7.344,10.5,15.25,4
