NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Ajinkya Rahane,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,2.85,1.987,0.0,2.91,3.0,1.5,46
Andre Russell,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,7.999,4.374,4.374,7.999,10.5,15.25,65
Daniel Sams,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,4.707,3.726,3.726,3.796,5.5,5.25,48
Ishan Kishan,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,4.247,4.658,4.931,4.247,6.0,7.0,86
Jasprit Bumrah,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,1.708,5.6,5.802,1.708,1.5,4.0,171
Kieron Pollard,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,3.462,2.847,2.768,3.462,4.5,3.75,31
Kumar Kartikeya,Unknown,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,4.4,0.0,0.0,2.104,5.0,2.0,63
Murugan Ashwin,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,4.735,0.0,0.0,4.891,6.0,4.0,29
Nitish Rana,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,3.62,1.278,1.518,3.62,4.5,3.0,82
Pat Cummins,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,6.524,5.64,3.685,5.985,8.5,10.75,87
Ramandeep Singh,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,2.603,0.0,0.0,3.443,3.5,1.5,16
Riley Meredith,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,4.703,5.639,6.766,4.703,6.0,8.0,0
Rinku Singh,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,5.885,0.0,0.0,4.33,7.0,5.0,51
Rohit Sharma,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,3.117,4.731,5.544,3.117,4.5,5.5,6
Sheldon Jackson,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,3.625,0.0,0.0,0.682,3.0,0.0,31
Shreyas Iyer,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,4.546,4.926,5.634,4.546,6.0,7.25,17
Sunil Narine,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,3.478,0.0,0.0,3.478,4.5,2.25,6
Tilak Varma,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,4.983,0.0,0.0,4.983,6.0,4.0,19
Tim David,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,HOME,CHASE,3.534,0.0,0.0,3.534,4.5,2.25,20
Tim Southee,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,7.762,6.403,6.263,7.544,10.5,16.75,35
Varun Chakravarthy,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,1.833,1.398,1.398,1.833,1.5,1.0,43
Venkatesh Iyer,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,AWAY,TARGET,2.259,4.041,4.608,2.259,3.0,4.0,68
