NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Arshdeep Singh,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,5.761,0.0,0.0,2.245,6.0,2.5,18
Basil Thampi,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,4.106,0.0,0.0,2.971,5.0,2.0,58
Dewald Brevis,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,7.309,12.923,0.0,6.574,10.0,16.5,77
Ishan Kishan,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,6.188,4.658,4.931,6.434,9.0,12.0,7
Jasprit Bumrah,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,3.705,5.6,5.802,2.371,4.0,5.25,39
Jaydev Unadkat,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,5.312,0.0,0.0,7.197,8.5,8.75,49
Jitesh Sharma,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,2.649,0.0,0.0,3.691,3.5,1.5,64
Jonny Bairstow,1 Wicketkeeper,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,3.254,3.313,2.587,1.209,3.5,2.75,17
Kagiso Rabada,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,7.629,6.37,6.339,6.7,10.0,15.0,54
Kieron Pollard,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,2.873,2.847,2.768,3.192,3.5,3.0,23
Liam Livingstone,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,5.729,5.441,5.892,5.729,7.5,10.0,6
M Shahrukh Khan,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,4.203,0.0,0.0,1.752,4.5,1.0,23
Mayank Agarwal,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,2.132,3.329,0.0,1.71,2.5,2.0,100
Murugan Ashwin,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,3.609,0.0,0.0,3.641,4.5,2.25,29
Odean Smith,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,3.331,4.363,3.026,2.326,4.0,4.25,125
Rahul Chahar,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,5.069,6.582,5.891,5.555,7.5,10.5,2
Rohit Sharma,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,2.871,4.731,5.544,2.953,3.0,4.25,43
Shikhar Dhawan,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,4.236,4.747,3.79,4.8,6.0,6.75,103
Suryakumar Yadav,2 Batsmen,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,5.547,4.066,3.951,7.756,8.5,11.5,70
Tilak Varma,3 All Rounder,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,3.833,0.0,0.0,4.604,5.0,3.0,57
Tymal Mills,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",MI,PBKS,HOME,CHASE,5.748,5.364,5.364,5.265,7.5,10.0,4
Vaibhav Arora,4 Bowler,"Maharashtra Cricket Association Stadium, Pune",PBKS,MI,AWAY,TARGET,1.839,0.0,0.0,1.774,1.5,0.25,35
