NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Akash Deep,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,5.08,0.0,0.0,4.984,7.0,5.0,-2
Ambati Rayudu,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,3.011,0.0,0.0,2.744,4.0,1.5,12
Anuj Rawat,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,3.969,0.0,0.0,5.164,5.5,3.75,25
Chris Jordan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,5.079,4.024,4.024,5.079,7.5,9.25,18
Dinesh Karthik,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,5.329,0.0,0.0,4.143,7.0,5.0,62
Dwayne Bravo,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,7.764,4.568,4.568,7.764,10.5,15.25,27
Faf du Plessis,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,5.772,1.164,0.0,5.772,7.5,6.75,12
Glenn Maxwell,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,6.35,4.237,4.237,7.848,9.5,13.5,42
Josh Hazlewood,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,7.993,6.99,7.45,9.428,11.5,20.5,44
MS Dhoni,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,2.701,0.0,0.0,2.701,3.0,1.0,4
Maheesh Theekshana,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,3.946,4.635,4.549,4.089,5.0,6.0,136
Moeen Ali,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,8.357,5.653,6.783,8.357,12.0,20.0,9
Mohammed Siraj,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,3.631,4.248,4.474,3.394,4.5,5.25,21
Mukesh Choudhary,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,4.13,0.0,0.0,2.751,5.0,2.0,23
Ravindra Jadeja,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,7.352,7.582,8.209,5.306,9.5,14.25,97
Robin Uthappa,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,5.057,0.0,0.0,5.057,7.5,6.25,128
Ruturaj Gaikwad,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,7.236,2.552,2.552,0.769,7.0,1.5,24
Shahbaz Ahmed,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,5.83,0.0,0.0,2.97,6.0,2.5,57
Shivam Dube,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,RCB,HOME,TARGET,2.804,0.0,0.0,3.939,3.5,1.5,142
Suyash Prabhudessai,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,4.657,0.0,0.0,6.233,7.0,6.0,61
Virat Kohli,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,3.749,3.882,5.566,5.13,5.5,6.5,13
Wanindu Hasaranga de Silva,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,CSK,AWAY,CHASE,7.318,7.662,9.847,7.318,10.5,18.0,59
