NAME,POSITION,TEAM_NAME,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Ben Cutting,3 All Rounder,PZ,HOME,TARGET,3.085,0.0,0.0,3.085,4.5,2.25,59
Ghulam Mudassar,4 Bowler,QG,AWAY,CHASE,2.727,0.0,0.0,4.365,4.0,2.0,37
Hazratullah Zazai,2 Batsmen,PZ,HOME,TARGET,7.157,3.081,3.081,5.43,9.5,11.0,13
Hussain Talat,3 All Rounder,PZ,HOME,TARGET,3.85,1.209,1.209,3.905,4.5,3.0,106
Iftikhar Ahmed,2 Batsmen,QG,AWAY,CHASE,3.94,1.745,1.745,2.746,4.0,2.25,39
James Vince,2 Batsmen,QG,AWAY,CHASE,3.628,4.303,3.777,3.433,4.5,5.0,2
Jason Roy,2 Batsmen,QG,AWAY,CHASE,6.434,4.527,4.66,5.429,8.5,10.5,27
Khurram Shahzad,4 Bowler,QG,AWAY,CHASE,5.924,0.0,0.0,5.351,7.5,6.25,35
Liam Livingstone,3 All Rounder,PZ,HOME,TARGET,6.646,5.441,5.892,5.479,8.5,11.25,37
Mohammad Haris,2 Batsmen,PZ,HOME,TARGET,1.369,0.0,0.0,3.122,2.5,0.75,73
Mohammad Umar,4 Bowler,PZ,HOME,TARGET,4.092,0.0,0.0,4.078,6.0,4.0,-2
Naseem Shah,4 Bowler,QG,AWAY,CHASE,4.099,0.67,0.0,4.483,6.0,4.0,136
Noor Ahmad,4 Bowler,QG,AWAY,CHASE,7.108,8.971,0.0,5.453,9.5,12.75,4
Salman Irshad,4 Bowler,PZ,HOME,TARGET,4.536,0.0,0.0,5.202,6.5,5.0,62
Sarfaraz Ahmed,1 Wicketkeeper,QG,AWAY,CHASE,2.044,0.781,0.544,2.228,3.0,1.0,32
Sherfane Rutherford,2 Batsmen,PZ,HOME,TARGET,2.847,0.0,0.0,2.847,3.0,1.0,2
Shoaib Malik,3 All Rounder,PZ,HOME,TARGET,4.765,2.199,2.199,4.765,6.0,5.5,80
Sohail Tanvir,4 Bowler,QG,AWAY,CHASE,2.926,0.0,0.0,2.926,3.0,1.0,8
Umar Akmal,2 Batsmen,QG,AWAY,CHASE,2.182,0.0,0.0,4.038,4.0,2.0,13
Usman Qadir,4 Bowler,PZ,HOME,TARGET,4.678,3.781,3.879,4.613,6.0,6.25,93
Wahab Riaz,4 Bowler,PZ,HOME,TARGET,5.298,0.0,0.0,5.298,7.5,6.25,38
Will Smeed,2 Batsmen,QG,AWAY,CHASE,4.314,0.0,0.0,6.126,7.0,6.0,133
