NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Afif Hossain,3 All Rounder,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,3.796,2.733,2.47,3.108,4.5,3.75,47
Azmatullah Omarzai,3 All Rounder,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,6.733,2.425,0.0,5.316,8.5,8.5,94
Darwish Rasooli,2 Batsmen,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,5.29,0.0,0.0,0.0,5.0,0.0,6
Fazalhaq Farooqi,4 Bowler,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,4.258,5.101,4.039,2.83,5.0,5.5,64
Hazratullah Zazai,2 Batsmen,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,5.917,3.081,3.081,3.775,6.5,6.0,11
Karim Janat,3 All Rounder,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,4.886,6.087,6.087,6.145,7.0,10.5,11
Litton Das,1 Wicketkeeper,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,5.448,3.404,1.972,3.812,6.5,5.5,82
Mahedi Hasan,3 All Rounder,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,4.633,4.769,4.943,4.633,6.0,7.0,21
Mahmudullah,3 All Rounder,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,5.416,4.149,3.938,6.081,8.0,10.25,24
Mohammad Nabi,3 All Rounder,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,4.32,4.731,5.561,4.3,6.0,7.25,30
Mohammad Naim,2 Batsmen,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,1.837,3.385,3.575,1.872,1.5,2.5,17
Mujeeb Ur Rahman,4 Bowler,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,3.61,6.366,10.076,4.598,5.0,8.5,32
Munim Shahriar,2 Batsmen,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,3.748,70.0,70.0,4.838,5.0,55.5,31
Mustafizur Rahman,4 Bowler,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,6.82,5.521,5.839,8.03,10.0,15.75,14
Najibullah Zadran,2 Batsmen,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,4.104,4.363,5.585,3.607,5.5,6.25,34
Nasum Ahmed,4 Bowler,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,3.146,5.317,5.317,3.146,4.5,6.0,129
Qais Ahmad,4 Bowler,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,6.161,9.282,0.0,5.815,8.5,12.0,36
Rahmanullah Gurbaz,1 Wicketkeeper,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,3.816,4.873,4.019,3.352,4.5,5.25,14
Rashid Khan,4 Bowler,"Shere Bangla National Stadium, Mirpur",AFG,BAN,AWAY,CHASE,6.535,7.975,7.443,6.516,9.0,14.25,56
Shakib Al Hasan,3 All Rounder,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,10.081,8.375,8.089,11.122,15.5,33.5,65
Shoriful Islam,4 Bowler,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,3.831,4.78,5.22,4.067,5.0,6.25,96
Yasir Ali,2 Batsmen,"Shere Bangla National Stadium, Mirpur",BAN,AFG,HOME,TARGET,2.226,1.066,0.0,3.16,3.5,2.0,29
