NAME,POSITION,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Akeal Hosein,4 Bowler,AWAY,CHASE,6.521,4.689,5.849,6.4,9.0,12.25,80
Alzarri Joseph,4 Bowler,AWAY,CHASE,5.254,5.022,5.16,5.101,7.5,10.0,79
Brandon King,2 Batsmen,AWAY,CHASE,4.353,4.363,1.847,1.847,4.5,3.25,26
Darren Bravo,2 Batsmen,AWAY,CHASE,2.342,2.622,3.41,2.557,3.0,2.75,5
Deepak Hooda,3 All Rounder,HOME,TARGET,4.759,3.693,3.693,4.707,6.0,6.25,70
Fabian Allen,3 All Rounder,AWAY,CHASE,2.44,3.869,2.273,4.119,4.0,4.0,44
Jason Holder,3 All Rounder,AWAY,CHASE,8.557,6.041,3.922,4.314,10.0,11.75,49
KL Rahul,2 Batsmen,HOME,TARGET,5.762,4.659,4.668,3.037,6.5,6.75,63
Kemar Roach,4 Bowler,AWAY,CHASE,6.577,5.071,0.0,0.0,6.0,2.5,29
Mohammed Siraj,4 Bowler,HOME,TARGET,5.302,3.97,3.551,3.551,6.5,6.0,38
Nicholas Pooran,1 Wicketkeeper,AWAY,CHASE,3.991,2.942,1.807,1.049,3.5,2.0,15
Odean Smith,3 All Rounder,AWAY,CHASE,5.278,4.593,5.934,5.934,7.5,9.5,85
Prasidh Krishna,4 Bowler,HOME,TARGET,5.028,6.064,6.064,5.904,7.5,10.75,134
Rishabh Pant,1 Wicketkeeper,HOME,TARGET,3.046,3.509,4.886,3.511,4.5,4.75,61
Rohit Sharma,2 Batsmen,HOME,TARGET,8.066,5.493,4.372,8.523,12.0,19.5,17
Shai Hope,1 Wicketkeeper,AWAY,CHASE,2.35,3.752,5.665,3.062,3.5,4.25,66
Shamarh Brooks,2 Batsmen,AWAY,CHASE,3.529,3.884,4.14,4.14,5.0,5.5,62
Shardul Thakur,4 Bowler,HOME,TARGET,3.426,5.856,5.572,4.644,5.0,6.75,67
Suryakumar Yadav,2 Batsmen,HOME,TARGET,3.315,3.829,4.472,2.941,4.0,4.0,93
Virat Kohli,2 Batsmen,HOME,TARGET,2.489,4.037,3.835,3.284,3.5,4.25,33
Washington Sundar,3 All Rounder,HOME,TARGET,7.507,5.33,10.653,8.333,11.0,19.0,54
Yuzvendra Chahal,4 Bowler,HOME,TARGET,6.965,5.056,5.632,7.353,9.5,14.25,43
