NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Asif Ali,2 Batsmen,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,2.281,1.25,1.284,2.281,3.0,1.75,19
Azam Khan,1 Wicketkeeper,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,3.189,0.24,0.24,3.456,4.5,2.25,25
Danish Aziz,3 All Rounder,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,7.696,3.492,6.38,0.0,7.0,3.0,42
David Wiese,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,4.176,7.834,7.834,4.64,6.0,9.25,58
Faheem Ashraf,3 All Rounder,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,4.21,3.352,3.657,4.117,6.0,6.25,123
Fakhar Zaman,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,7.776,3.608,2.874,8.356,11.0,16.0,77
Haris Rauf,4 Bowler,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,5.733,4.602,4.382,5.733,7.5,9.25,62
Harry Brook,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,2.312,1.285,1.285,2.312,3.0,1.75,156
Kamran Ghulam,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,4.223,0.0,0.0,4.748,6.0,4.0,8
Liam Dawson,3 All Rounder,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,4.434,0.478,0.478,3.486,5.5,3.0,72
Marchant de Lange,4 Bowler,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,2.777,0.0,0.0,2.441,3.0,1.0,4
Mohammad Hafeez,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,4.739,2.753,2.753,4.209,6.0,5.5,6
Mohammad Wasim,3 All Rounder,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,4.826,5.7,5.7,4.94,6.0,7.75,12
Mubasir Khan,3 All Rounder,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,2.989,0.0,0.0,1.245,2.5,0.5,10
Phil Salt,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,1.942,3.144,2.587,1.933,1.5,2.25,18
Rahmanullah Gurbaz,1 Wicketkeeper,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,4.758,4.734,4.019,4.588,6.0,7.0,42
Rashid Khan,4 Bowler,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,6.138,8.255,7.443,6.107,9.0,14.75,68
Shaheen Shah Afridi,4 Bowler,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,6.038,5.422,4.544,6.038,9.0,12.5,72
Sohail Akhtar,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,2.36,0.0,0.0,3.314,3.5,1.5,22
Waqas Maqsood,4 Bowler,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,5.658,0.0,0.0,7.551,8.5,8.75,1
Zahir Khan,4 Bowler,"Gaddafi Stadium, Lahore",IU,LQ,AWAY,CHASE,2.135,3.897,0.0,2.135,3.0,2.5,29
Zaman Khan,4 Bowler,"Gaddafi Stadium, Lahore",LQ,IU,HOME,TARGET,4.878,0.0,0.0,5.406,6.5,5.0,74
