NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Ambati Rayudu,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,3.868,0.0,0.0,3.868,4.5,2.25,16
Daniel Sams,3 All Rounder,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,5.052,3.726,3.726,4.18,7.0,7.25,98
Devon Conway,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,5.668,5.928,4.985,7.042,8.5,12.25,2
Dwayne Bravo,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,7.019,4.568,4.568,7.019,10.5,15.25,18
Hrithik Shokeen,4 Bowler,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,3.883,0.0,0.0,4.067,5.0,3.0,34
Ishan Kishan,1 Wicketkeeper,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,3.64,4.658,4.931,3.64,4.5,5.25,51
Jasprit Bumrah,4 Bowler,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,3.368,5.6,5.802,3.368,4.5,6.0,55
Kumar Kartikeya,4 Bowler,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,4.783,0.0,0.0,3.749,5.5,3.0,62
MS Dhoni,1 Wicketkeeper,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,1.662,0.0,0.0,1.662,1.5,0.25,68
Maheesh Theekshana,4 Bowler,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,4.876,4.635,4.549,4.876,6.0,7.0,4
Moeen Ali,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,7.08,5.653,6.783,7.08,10.5,16.25,35
Mukesh Choudhary,4 Bowler,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,5.073,0.0,0.0,5.073,7.5,6.25,108
Ramandeep Singh,2 Batsmen,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,2.583,0.0,0.0,3.393,3.5,1.5,29
Riley Meredith,4 Bowler,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,4.685,5.639,6.766,4.685,6.0,8.0,54
Robin Uthappa,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,2.901,0.0,0.0,2.901,3.0,1.0,5
Rohit Sharma,2 Batsmen,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,2.494,4.731,5.544,2.494,3.0,4.25,34
Ruturaj Gaikwad,2 Batsmen,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,4.813,2.552,2.552,4.813,6.0,5.5,12
Shivam Dube,3 All Rounder,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,4.252,0.0,0.0,4.373,6.0,4.0,15
Simarjeet Singh,4 Bowler,"Wankhede Stadium, Mumbai",CSK,MI,HOME,TARGET,2.787,0.0,0.0,2.276,3.0,1.0,35
Tilak Varma,3 All Rounder,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,4.714,0.0,0.0,4.714,6.0,4.0,54
Tim David,2 Batsmen,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,3.251,0.0,0.0,3.251,4.5,2.25,24
Tristan Stubbs,1 Wicketkeeper,"Wankhede Stadium, Mumbai",MI,CSK,AWAY,CHASE,3.123,0.0,0.0,3.334,4.5,2.25,2
