NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abhinav Manohar,3 All Rounder,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,2.821,0.0,0.0,3.105,3.5,1.5,2
Abhishek Sharma,3 All Rounder,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,5.911,0.0,0.0,5.923,7.5,6.25,93
Aiden Markram,2 Batsmen,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,4.344,4.82,6.562,4.889,6.0,7.5,78
Alzarri Joseph,4 Bowler,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,7.308,5.342,0.0,6.753,10.0,13.0,49
Bhuvneshwar Kumar,4 Bowler,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,5.804,4.466,4.839,5.804,7.5,9.25,4
David Miller,2 Batsmen,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,4.446,3.062,3.422,4.848,6.0,6.25,30
Hardik Pandya,3 All Rounder,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,7.148,3.608,3.974,7.148,10.5,14.5,16
Kane Williamson,2 Batsmen,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,4.604,4.852,4.464,4.875,6.0,7.0,10
Lockie Ferguson,4 Bowler,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,5.492,4.444,4.444,4.624,7.0,8.0,-2
Marco Jansen,3 All Rounder,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,5.432,7.107,0.0,6.251,8.0,11.0,16
Mohammed Shami,4 Bowler,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,5.238,6.199,5.755,5.397,7.5,10.5,99
Nicholas Pooran,1 Wicketkeeper,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,4.808,3.384,3.927,4.808,6.0,6.25,7
Rahul Tewatia,3 All Rounder,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,2.704,0.0,0.0,2.704,3.0,1.0,62
Rahul Tripathi,2 Batsmen,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,4.363,0.0,0.0,4.981,6.0,4.0,28
Rashid Khan,4 Bowler,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,5.522,7.608,6.816,4.962,7.0,10.0,43
Shashank Singh,3 All Rounder,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,1.635,0.0,0.0,0.0,1.0,0.0,36
Shubman Gill,2 Batsmen,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,4.422,2.786,0.0,4.538,6.0,5.0,37
T Natarajan,4 Bowler,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,8.032,3.123,3.776,8.032,12.0,18.25,2
Umran Malik,4 Bowler,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,5.341,0.0,0.0,5.984,7.5,6.25,179
Washington Sundar,3 All Rounder,"Wankhede Stadium, Mumbai",SRH,GT,AWAY,TARGET,6.116,5.187,4.049,6.144,9.0,12.5,7
Wriddhiman Saha,1 Wicketkeeper,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,2.425,2.737,0.0,2.347,3.0,2.0,99
Yash Dayal,4 Bowler,"Wankhede Stadium, Mumbai",GT,SRH,HOME,CHASE,7.046,0.0,0.0,7.311,10.5,12.25,31
