NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abdul Samad,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,2.347,0.0,0.0,1.738,2.5,0.5,2
Abhishek Sharma,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,7.975,0.0,0.0,2.492,8.0,3.5,19
Aiden Markram,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,3.87,4.82,6.562,8.333,7.0,9.5,16
Andrew Tye,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,5.509,8.259,8.259,5.398,7.5,12.25,12
Avesh Khan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,3.979,4.817,4.817,5.257,5.5,6.75,114
Ayush Badoni,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,3.307,0.0,0.0,1.865,3.5,0.75,38
Bhuvneshwar Kumar,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,4.074,4.466,4.839,4.41,6.0,7.0,15
Deepak Hooda,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,5.008,2.741,1.349,3.876,6.5,5.0,84
Evin Lewis,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,3.471,4.526,4.347,4.273,5.0,6.0,5
Jason Holder,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,7.206,5.713,6.466,9.911,11.5,19.75,93
KL Rahul,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,4.48,4.689,4.982,5.981,6.5,8.0,106
Kane Williamson,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,4.525,4.852,4.464,5.386,6.5,8.0,31
Krunal Pandya,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,5.298,3.873,4.211,2.747,6.0,5.0,63
Manish Pandey,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,4.168,2.764,0.0,0.864,4.0,1.0,26
Nicholas Pooran,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,5.27,3.384,3.927,6.501,8.0,9.75,57
Quinton de Kock,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,4.721,6.03,6.354,4.521,6.0,8.5,21
Rahul Tripathi,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,4.852,0.0,0.0,5.574,6.5,5.0,69
Ravi Bishnoi,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",LSG,SRH,AWAY,TARGET,4.237,4.417,4.417,4.142,6.0,7.0,12
Romario Shepherd,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,5.119,4.37,4.589,5.523,7.5,9.25,68
T Natarajan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,4.707,3.123,3.776,4.983,6.0,6.25,72
Umran Malik,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,5.42,0.0,0.0,6.097,8.0,7.5,-1
Washington Sundar,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,LSG,HOME,CHASE,6.835,5.187,4.049,5.848,8.5,11.0,83
