NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Ambati Rayudu,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,4.106,0.0,0.0,4.106,6.0,4.0,10
Anrich Nortje,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,5.571,6.068,5.775,6.465,8.0,11.75,82
Axar Patel,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,4.427,9.333,4.253,4.36,6.0,9.5,21
David Warner,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,6.043,4.848,7.757,6.905,9.0,12.75,48
Devon Conway,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,5.16,5.928,4.985,6.216,8.0,11.0,130
Dwayne Bravo,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,6.961,4.568,4.568,6.961,9.0,12.0,63
Khaleel Ahmed,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,5.668,0.0,0.0,7.629,8.5,8.75,56
Kuldeep Yadav,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,7.729,3.248,4.837,7.729,10.5,14.75,3
MS Dhoni,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,2.395,0.0,0.0,2.395,3.0,1.0,46
Maheesh Theekshana,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,6.046,4.635,4.549,6.046,9.0,12.0,37
Mitchell Marsh,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,7.148,5.969,6.309,7.148,10.5,16.25,55
Moeen Ali,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,6.563,5.653,6.783,6.563,9.0,13.0,116
Mukesh Choudhary,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,4.504,0.0,0.0,4.871,6.0,4.0,62
Ripal Patel,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,1.943,0.0,0.0,2.133,2.0,0.5,12
Rishabh Pant,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,4.071,3.72,3.304,4.071,6.0,6.25,43
Robin Uthappa,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,3.474,0.0,0.0,3.474,4.5,2.25,10
Rovman Powell,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,3.029,4.479,4.156,3.029,4.5,5.25,7
Ruturaj Gaikwad,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,4.248,2.552,2.552,4.248,6.0,5.5,63
Shardul Thakur,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,4.785,5.943,4.828,4.785,6.0,7.5,26
Shivam Dube,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,3.894,0.0,0.0,4.368,5.0,3.0,50
Simarjeet Singh,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,HOME,TARGET,3.229,0.0,0.0,3.159,4.5,2.25,56
Srikar Bharat,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,AWAY,CHASE,4.954,0.0,0.0,2.25,5.0,2.0,14
