NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abhishek Sharma,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,7.788,0.0,0.0,1.554,7.5,1.75,100
Aiden Markram,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,3.891,4.82,6.562,4.993,5.0,6.5,45
Ambati Rayudu,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,2.521,0.0,0.0,1.765,2.5,0.5,35
Bhuvneshwar Kumar,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,4.088,4.466,4.839,4.433,6.0,7.0,29
Chris Jordan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,5.548,4.024,4.024,5.548,7.5,9.25,14
Dwayne Bravo,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,8.374,4.568,4.568,8.374,12.0,19.0,36
Kane Williamson,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,4.745,4.852,4.464,5.032,6.5,8.0,52
MS Dhoni,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,2.659,0.0,0.0,2.659,3.0,1.0,7
Maheesh Theekshana,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,4.314,4.635,4.549,4.703,6.0,7.0,4
Marco Jansen,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,6.865,7.107,0.0,0.0,6.0,3.5,29
Moeen Ali,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,7.458,5.653,6.783,7.458,10.5,16.25,73
Mukesh Choudhary,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,4.198,0.0,0.0,1.786,4.5,1.0,29
Nicholas Pooran,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,4.839,3.384,3.927,5.885,6.5,7.25,10
Rahul Tripathi,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,4.343,0.0,0.0,3.03,5.5,3.0,70
Ravindra Jadeja,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,8.443,7.582,8.209,6.864,11.0,17.5,37
Robin Uthappa,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,4.798,0.0,0.0,5.307,6.5,5.0,22
Ruturaj Gaikwad,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,7.663,2.552,2.552,1.622,7.5,3.25,23
Shashank Singh,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,4.55,0.0,0.0,5.14,6.5,5.0,4
Shivam Dube,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",CSK,SRH,HOME,TARGET,3.53,0.0,0.0,5.148,5.5,3.75,7
T Natarajan,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,5.018,3.123,3.776,5.329,7.5,8.5,62
Umran Malik,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,5.019,0.0,0.0,5.524,7.5,6.25,20
Washington Sundar,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",SRH,CSK,AWAY,CHASE,7.492,5.187,4.049,7.607,10.5,15.75,58
