NAME,POSITION,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Akeal Hosein,4 Bowler,WI,INDIA,AWAY,TARGET,6.829,4.746,3.851,7.234,9.5,13.25,16
Bhuvneshwar Kumar,4 Bowler,INDIA,WI,HOME,CHASE,3.349,4.229,4.589,3.5,4.5,5.25,29
Brandon King,2 Batsmen,WI,INDIA,AWAY,TARGET,3.835,3.887,4.678,4.792,5.0,5.5,9
Deepak Chahar,4 Bowler,INDIA,WI,HOME,CHASE,5.418,7.554,5.683,4.021,7.0,9.75,37
Fabian Allen,3 All Rounder,WI,INDIA,AWAY,TARGET,2.455,3.83,4.268,2.259,3.0,3.5,37
Harshal Patel,4 Bowler,INDIA,WI,HOME,CHASE,9.023,9.413,9.413,9.369,13.5,27.0,54
Ishan Kishan,1 Wicketkeeper,INDIA,WI,HOME,CHASE,5.152,3.754,3.76,5.399,7.5,8.5,47
Kieron Pollard,3 All Rounder,WI,INDIA,AWAY,TARGET,4.25,2.948,2.905,5.331,6.5,6.5,40
Kyle Mayers,3 All Rounder,WI,INDIA,AWAY,TARGET,5.251,4.836,5.433,6.005,8.0,10.75,46
Nicholas Pooran,1 Wicketkeeper,WI,INDIA,AWAY,TARGET,3.194,2.912,3.32,4.877,5.0,4.75,89
Odean Smith,3 All Rounder,WI,INDIA,AWAY,TARGET,4.94,5.095,3.922,3.377,5.5,6.25,18
Ravi Bishnoi,4 Bowler,INDIA,WI,HOME,CHASE,4.801,0.0,0.0,4.844,6.0,4.0,68
Rishabh Pant,1 Wicketkeeper,INDIA,WI,HOME,CHASE,3.339,3.537,3.0,0.556,3.0,2.25,12
Rohit Sharma,2 Batsmen,INDIA,WI,HOME,CHASE,7.011,5.17,6.709,8.52,11.0,18.0,72
Romario Shepherd,3 All Rounder,WI,INDIA,AWAY,TARGET,6.127,4.431,4.737,6.068,9.0,12.0,4
Roston Chase,3 All Rounder,WI,INDIA,AWAY,TARGET,4.659,3.652,2.712,2.712,5.0,4.0,58
Rovman Powell,2 Batsmen,WI,INDIA,AWAY,TARGET,5.746,3.873,3.243,4.318,7.0,7.25,6
Sheldon Cottrell,4 Bowler,WI,INDIA,AWAY,TARGET,4.659,3.699,3.741,3.392,5.5,5.25,29
Suryakumar Yadav,2 Batsmen,INDIA,WI,HOME,CHASE,2.555,3.832,3.537,0.094,2.0,2.25,63
Venkatesh Iyer,3 All Rounder,INDIA,WI,HOME,CHASE,7.027,2.429,3.054,4.25,9.0,8.75,46
Virat Kohli,2 Batsmen,INDIA,WI,HOME,CHASE,2.645,3.84,5.472,0.0,2.0,2.75,32
Yuzvendra Chahal,4 Bowler,INDIA,WI,HOME,CHASE,7.016,4.966,4.364,0.0,7.0,3.0,37
