NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Ajinkya Rahane,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,5.308,1.987,0.0,11.172,10.5,14.25,22
Akash Deep,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,5.253,0.0,0.0,4.543,7.0,5.0,103
Andre Russell,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,6.032,4.374,4.374,6.032,9.0,12.0,40
Anuj Rawat,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,3.163,0.0,0.0,4.395,5.0,3.0,2
David Willey,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,5.87,5.61,4.025,6.044,8.0,11.0,39
Dinesh Karthik,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,4.681,0.0,0.0,3.406,5.5,3.0,29
Faf du Plessis,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,6.296,1.164,0.0,6.296,9.0,9.5,26
Harshal Patel,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,5.74,5.916,5.916,4.68,7.0,8.75,96
Mohammed Siraj,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,4.629,4.248,4.474,5.613,6.5,8.0,31
Nitish Rana,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,5.397,1.278,1.518,5.49,7.5,7.0,25
Sam Billings,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,3.261,1.502,2.003,3.435,4.5,3.25,20
Shahbaz Ahmed,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,7.322,0.0,0.0,1.938,7.5,1.75,47
Sheldon Jackson,1 Wicketkeeper,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,4.722,0.0,0.0,0.613,4.0,0.0,42
Sherfane Rutherford,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,2.672,0.0,0.0,2.672,3.0,1.0,33
Shreyas Iyer,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,6.8,4.926,5.634,9.072,10.5,16.75,21
Sunil Narine,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,4.688,0.0,0.0,4.688,6.0,4.0,50
Tim Southee,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,6.724,6.403,6.263,6.929,9.0,13.5,88
Umesh Yadav,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,4.711,3.727,0.0,5.639,6.5,6.5,82
Varun Chakravarthy,4 Bowler,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,2.736,1.398,1.398,3.04,3.5,2.25,41
Venkatesh Iyer,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",KKR,RCB,AWAY,TARGET,4.506,4.041,4.608,5.083,6.5,8.0,15
Virat Kohli,2 Batsmen,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,3.297,3.882,5.566,6.352,6.0,7.25,26
Wanindu Hasaranga de Silva,3 All Rounder,"Dr DY Patil Sports Academy, Mumbai",RCB,KKR,HOME,CHASE,6.466,7.662,9.847,6.466,9.0,14.75,129
