NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abhinav Manohar,3 All Rounder,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,3.359,0.0,0.0,4.564,5.0,3.0,4
Arshdeep Singh,4 Bowler,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,6.159,0.0,0.0,2.52,7.0,3.0,15
Darshan Nalkande,4 Bowler,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,5.236,0.0,0.0,6.534,8.0,7.5,48
David Miller,2 Batsmen,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,4.915,3.062,3.422,5.942,6.5,7.25,19
Hardik Pandya,3 All Rounder,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,3.318,3.608,3.974,3.525,4.5,4.5,63
Jitesh Sharma,1 Wicketkeeper,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,3.454,0.0,0.0,5.034,5.5,3.75,38
Jonny Bairstow,1 Wicketkeeper,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,3.141,3.313,2.587,0.831,3.0,2.0,34
Kagiso Rabada,4 Bowler,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,7.963,6.37,6.339,6.428,10.0,15.0,55
Liam Livingstone,3 All Rounder,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,5.283,5.441,5.892,5.283,7.5,10.0,97
Lockie Ferguson,4 Bowler,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,7.173,4.444,4.444,8.196,11.0,17.0,29
M Shahrukh Khan,2 Batsmen,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,4.121,0.0,0.0,1.625,4.5,1.0,23
Matthew Wade,1 Wicketkeeper,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,3.161,2.301,2.148,1.997,3.5,2.25,25
Mayank Agarwal,2 Batsmen,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,3.269,3.329,0.0,2.043,4.0,3.0,26
Mohammed Shami,4 Bowler,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,7.894,6.199,5.755,9.703,11.5,20.0,43
Odean Smith,3 All Rounder,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,3.331,4.363,3.026,2.326,4.0,4.25,-2
Rahul Chahar,4 Bowler,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,4.402,6.582,5.891,4.601,6.0,8.25,53
Rahul Tewatia,3 All Rounder,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,6.108,0.0,0.0,6.108,9.0,9.0,29
Rashid Khan,4 Bowler,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,6.146,7.608,6.816,5.96,8.5,12.5,103
Sai Sudharsan,2 Batsmen,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,4.241,0.0,0.0,4.644,6.0,4.0,49
Shikhar Dhawan,2 Batsmen,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,3.923,4.747,3.79,4.742,5.0,5.75,23
Shubman Gill,2 Batsmen,"Brabourne Stadium, Mumbai",GT,PBKS,AWAY,CHASE,5.337,2.786,0.0,5.682,7.5,7.25,141
Vaibhav Arora,4 Bowler,"Brabourne Stadium, Mumbai",PBKS,GT,HOME,TARGET,2.138,0.0,0.0,1.986,2.5,0.5,6
