NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aaron Finch,2 Batsmen,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,3.322,3.82,4.214,4.066,5.0,5.5,13
Abhishek Sharma,3 All Rounder,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,9.574,0.0,0.0,6.18,12.0,13.5,1
Aiden Markram,2 Batsmen,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,3.464,4.82,6.562,4.207,5.0,6.5,100
Aman Hakim Khan,Unknown,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,2.797,0.0,0.0,1.212,2.5,0.5,10
Andre Russell,3 All Rounder,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,6.431,4.374,4.374,6.431,9.0,12.0,131
Bhuvneshwar Kumar,4 Bowler,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,4.075,4.466,4.839,5.036,6.5,8.0,29
Jagadeesha Suchith,4 Bowler,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,4.569,0.0,0.0,4.222,6.0,4.0,35
Kane Williamson,2 Batsmen,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,5.211,4.852,4.464,5.549,7.5,9.25,24
Marco Jansen,3 All Rounder,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,6.258,7.107,0.0,4.594,8.0,9.5,39
Nicholas Pooran,1 Wicketkeeper,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,4.89,3.384,3.927,5.958,6.5,7.25,25
Nitish Rana,2 Batsmen,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,3.639,1.278,1.518,2.561,4.0,2.25,78
Pat Cummins,4 Bowler,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,7.12,5.64,3.685,7.08,10.5,15.5,38
Rahul Tripathi,2 Batsmen,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,3.839,0.0,0.0,4.107,5.0,3.0,105
Shashank Singh,2 Batsmen,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,3.522,0.0,0.0,0.0,3.0,0.0,12
Sheldon Jackson,1 Wicketkeeper,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,4.39,0.0,0.0,0.306,4.0,0.0,13
Shreyas Iyer,2 Batsmen,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,6.702,4.926,5.634,7.094,9.5,13.75,35
Sunil Narine,3 All Rounder,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,4.703,0.0,0.0,4.703,6.0,4.0,16
T Natarajan,4 Bowler,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,6.242,3.123,3.776,6.242,9.0,11.25,99
Umesh Yadav,4 Bowler,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,5.827,3.727,0.0,8.161,9.0,11.5,5
Umran Malik,4 Bowler,"Brabourne Stadium, Mumbai",SRH,KKR,HOME,CHASE,5.16,0.0,0.0,5.725,7.5,6.25,64
Varun Chakravarthy,4 Bowler,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,1.82,1.398,1.398,2.022,2.0,1.25,-2
Venkatesh Iyer,3 All Rounder,"Brabourne Stadium, Mumbai",KKR,SRH,AWAY,TARGET,4.497,4.041,4.608,4.497,6.0,7.0,13
