NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aamer Azmat,Unknown,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,6.057,0.0,0.0,0.272,6.0,0.0,56
Abdullah Shafique,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,3.696,4.567,0.0,3.478,4.5,4.25,10
Asif Afridi,3 All Rounder,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,7.197,0.0,0.0,5.782,9.5,8.75,41
David Wiese,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,4.344,7.834,7.834,4.344,6.0,9.25,12
David Willey,3 All Rounder,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,6.022,5.61,4.025,6.304,9.0,12.5,62
Fakhar Zaman,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,8.189,3.608,2.874,8.189,12.0,18.0,87
Haris Rauf,4 Bowler,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,5.054,4.602,4.382,5.054,7.5,9.25,13
Harry Brook,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,3.526,1.285,1.285,3.526,4.5,3.0,18
Imran Tahir,4 Bowler,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,6.828,0.0,0.0,6.828,9.0,9.0,4
Johnson Charles,1 Wicketkeeper,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,3.671,0.0,0.0,0.0,3.0,0.0,4
Kamran Ghulam,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,4.16,0.0,0.0,4.16,6.0,4.0,26
Khushdil Shah,2 Batsmen,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,7.271,2.074,2.074,7.271,10.5,13.75,29
Mohammad Hafeez,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,4.467,2.753,2.753,4.467,6.0,5.5,41
Mohammad Rizwan,1 Wicketkeeper,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,7.891,5.95,7.6,7.891,10.5,16.5,86
Phil Salt,2 Batsmen,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,1.666,3.144,2.587,1.666,1.5,2.25,17
Rilee Rossouw,2 Batsmen,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,3.183,0.0,0.0,3.038,4.5,2.25,90
Rumman Raees,4 Bowler,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,2.651,0.0,0.0,2.336,3.0,1.0,41
Samit Patel,3 All Rounder,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,6.633,0.0,0.0,6.633,9.0,9.0,41
Shaheen Shah Afridi,4 Bowler,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,6.38,5.422,4.544,6.38,9.0,12.5,5
Shahnawaz Dahani,4 Bowler,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,5.755,4.481,4.481,5.886,7.5,9.25,113
Shan Masood,2 Batsmen,"Gaddafi Stadium, Lahore",MS,LQ,AWAY,TARGET,6.883,0.0,0.0,6.883,9.0,9.0,12
Zaman Khan,4 Bowler,"Gaddafi Stadium, Lahore",LQ,MS,HOME,CHASE,5.036,0.0,0.0,5.036,7.5,6.25,0
