NAME,POSITION,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Alex Hales,2 Batsmen,IU,PZ,AWAY,CHASE,5.543,0.0,0.0,5.543,7.5,6.25,113
Asif Ali,2 Batsmen,IU,PZ,AWAY,CHASE,1.994,1.25,1.284,1.648,1.5,1.0,20
Azam Khan,1 Wicketkeeper,IU,PZ,AWAY,CHASE,3.051,0.24,0.24,0.0,3.0,0.0,4
Ben Cutting,3 All Rounder,PZ,IU,HOME,TARGET,1.814,0.0,0.0,1.814,1.5,0.25,38
Faheem Ashraf,3 All Rounder,IU,PZ,AWAY,CHASE,3.394,3.352,3.657,3.287,4.5,4.5,58
Haider Ali,2 Batsmen,PZ,IU,HOME,TARGET,4.427,2.516,2.516,3.691,5.5,4.5,22
Hasan Ali,4 Bowler,IU,PZ,AWAY,CHASE,5.359,6.697,5.877,5.301,7.5,10.5,70
Hussain Talat,3 All Rounder,PZ,IU,HOME,TARGET,4.334,1.209,1.209,4.873,6.0,4.75,8
Marchant de Lange,4 Bowler,IU,PZ,AWAY,CHASE,3.602,0.0,0.0,2.453,4.0,1.5,4
Mohammad Wasim,3 All Rounder,IU,PZ,AWAY,CHASE,6.146,5.7,5.7,8.786,10.0,15.75,29
Mubasir Khan,3 All Rounder,IU,PZ,AWAY,CHASE,6.007,0.0,0.0,0.0,6.0,0.0,4
Pat Brown,4 Bowler,PZ,IU,HOME,TARGET,2.495,0.0,0.0,3.471,3.5,1.5,4
Paul Stirling,3 All Rounder,IU,PZ,AWAY,CHASE,4.15,5.777,5.974,2.734,5.0,5.75,88
Rahmanullah Gurbaz,1 Wicketkeeper,IU,PZ,AWAY,CHASE,4.382,4.734,4.019,4.05,6.0,7.0,40
Shadab Khan,3 All Rounder,IU,PZ,AWAY,CHASE,5.801,5.009,5.289,5.801,7.5,10.0,47
Sherfane Rutherford,2 Batsmen,PZ,IU,HOME,TARGET,2.63,0.0,0.0,1.542,2.5,0.5,99
Shoaib Malik,3 All Rounder,PZ,IU,HOME,TARGET,4.74,2.199,2.199,4.74,6.0,5.5,33
Sohail Khan,4 Bowler,PZ,IU,HOME,TARGET,6.969,0.0,0.0,4.1,8.0,6.0,-2
Tom Kohler-Cadmore,2 Batsmen,PZ,IU,HOME,TARGET,4.128,0.0,0.0,4.128,6.0,4.0,2
Usman Qadir,4 Bowler,PZ,IU,HOME,TARGET,4.817,3.781,3.879,4.768,6.0,6.25,-2
Wahab Riaz,4 Bowler,PZ,IU,HOME,TARGET,5.663,0.0,0.0,8.281,9.0,10.0,18
Yasir Khan,Unknown,PZ,IU,HOME,TARGET,3.047,0.0,0.0,4.95,5.0,3.0,21
